date;nav
20/06/2016;61406.37
21/06/2016;61843.97
22/06/2016;62034.82
23/06/2016;63190.22
24/06/2016;58291.61
27/06/2016;56342.53
28/06/2016;57906.93
29/06/2016;59378.45
30/06/2016;60050.48
01/07/2016;60547.52
04/07/2016;60034.43
05/07/2016;58998.32
06/07/2016;57919.04
07/07/2016;58343.38
08/07/2016;59359.75
11/07/2016;60388.75
12/07/2016;61332.5
13/07/2016;61370.83
15/07/2016;61865.05
18/07/2016;61677.87
19/07/2016;61283.27
20/07/2016;62003.87
21/07/2016;61875.86
22/07/2016;61930.79
25/07/2016;62022.2
26/07/2016;62158.46
27/07/2016;62890.46
28/07/2016;62567.86
29/07/2016;62714.24
01/08/2016;62244.89
02/08/2016;61110.13
03/08/2016;60958.26
04/08/2016;61318.5
05/08/2016;62195.31
08/08/2016;62254.24
09/08/2016;62976.43
10/08/2016;62748.35
11/08/2016;63476.13
12/08/2016;63391.52
16/08/2016;62808.78
17/08/2016;62209.91
18/08/2016;62490.73
19/08/2016;62023.61
22/08/2016;61874.5
23/08/2016;62333.24
24/08/2016;62527.09
25/08/2016;62114.88
26/08/2016;62588.29
29/08/2016;62376.48
30/08/2016;62843.06
31/08/2016;62629.19
01/09/2016;62682.99
02/09/2016;64113.35
05/09/2016;64117.31
06/09/2016;63928.48
07/09/2016;64355.86
08/09/2016;64144.83
09/09/2016;63466.1
12/09/2016;62779.73
13/09/2016;62085.62
14/09/2016;61815.11
15/09/2016;61905.21
16/09/2016;61331.61
19/09/2016;62143.04
20/09/2016;62079.12
21/09/2016;62363.44
22/09/2016;63733.36
23/09/2016;63424.37
26/09/2016;62321.68
27/09/2016;62250.12
28/09/2016;62711.06
29/09/2016;62875.79
30/09/2016;63008.68
03/10/2016;63032.82
04/10/2016;63693.59
05/10/2016;63586.52
06/10/2016;63511.62
07/10/2016;63167.8
10/10/2016;63827.74
11/10/2016;63476.95
12/10/2016;63223.18
13/10/2016;62577.14
14/10/2016;63499.44
17/10/2016;63194.13
18/10/2016;63984.94
19/10/2016;64188.46
20/10/2016;64491.14
21/10/2016;64443.56
