date;nav
12/10/2021;100.19
13/10/2021;101.16
14/10/2021;102.41
15/10/2021;103.09
18/10/2021;102.73
19/10/2021;103.04
20/10/2021;103.67
21/10/2021;103.2
22/10/2021;103.72
25/10/2021;103.78
26/10/2021;104.4
27/10/2021;104.23
28/10/2021;104.88
29/10/2021;104.87
02/11/2021;106.26
03/11/2021;106.46
04/11/2021;107.03
05/11/2021;106.96
08/11/2021;107.01
09/11/2021;106.7
10/11/2021;106.76
12/11/2021;107.47
15/11/2021;107.65
16/11/2021;107.82
17/11/2021;107.98
18/11/2021;108.01
19/11/2021;107.47
22/11/2021;107.23
23/11/2021;105.85
24/11/2021;105.94
25/11/2021;106.54
26/11/2021;102.5
29/11/2021;102.82
30/11/2021;102.36
01/12/2021;104.44
02/12/2021;103.1
03/12/2021;102.63
06/12/2021;104.08
07/12/2021;106.74
08/12/2021;106.17
09/12/2021;106.05
10/12/2021;105.56
13/12/2021;105.23
14/12/2021;103.81
15/12/2021;104.27
16/12/2021;105.39
17/12/2021;104.48
20/12/2021;103.4
21/12/2021;104.75
22/12/2021;105.65
23/12/2021;106.92
24/12/2021;106.51
27/12/2021;107.16
28/12/2021;107.84
29/12/2021;107.64
30/12/2021;107.83
31/12/2021;107.73
03/01/2022;108.39
04/01/2022;109.38
05/01/2022;109.7
06/01/2022;108.05
07/01/2022;107.68
10/01/2022;106.05
11/01/2022;107.06
12/01/2022;107.72
13/01/2022;107.95
14/01/2022;106.89
17/01/2022;107.56
18/01/2022;106.61
19/01/2022;106.6
20/01/2022;107.36
21/01/2022;105.16
24/01/2022;101.32
25/01/2022;101.6
26/01/2022;103.48
27/01/2022;103.84
28/01/2022;103.02
31/01/2022;104.0
01/02/2022;105.19
02/02/2022;105.64
03/02/2022;103.85
04/02/2022;102.42
07/02/2022;102.76
08/02/2022;102.6
09/02/2022;104.49
10/02/2022;104.31
11/02/2022;103.23
14/02/2022;101.08
15/02/2022;102.58
16/02/2022;102.54
17/02/2022;101.7
18/02/2022;100.58
21/02/2022;98.79
22/02/2022;98.45
23/02/2022;98.19
24/02/2022;95.76
25/02/2022;99.15
28/02/2022;99.28
01/03/2022;95.77
02/03/2022;96.41
03/03/2022;94.6
04/03/2022;90.55
07/03/2022;89.42
08/03/2022;89.48
09/03/2022;95.22
10/03/2022;92.8
11/03/2022;94.07
14/03/2022;95.76
15/03/2022;95.51
16/03/2022;98.8
17/03/2022;99.22
18/03/2022;99.61
21/03/2022;99.07
22/03/2022;99.69
23/03/2022;98.22
24/03/2022;97.99
25/03/2022;97.95
28/03/2022;98.58
29/03/2022;101.53
30/03/2022;100.42
31/03/2022;99.64
01/04/2022;99.97
04/04/2022;100.46
05/04/2022;99.82
06/04/2022;97.98
07/04/2022;97.24
08/04/2022;98.61
11/04/2022;98.06
12/04/2022;98.01
13/04/2022;97.86
14/04/2022;98.52
19/04/2022;98.17
20/04/2022;99.4
21/04/2022;100.34
22/04/2022;98.73
25/04/2022;97.27
26/04/2022;96.51
27/04/2022;96.78
28/04/2022;97.95
29/04/2022;98.0
02/05/2022;96.43
03/05/2022;97.19
04/05/2022;96.37
05/05/2022;95.79
06/05/2022;94.24
09/05/2022;91.34
10/05/2022;91.65
11/05/2022;93.75
12/05/2022;92.91
13/05/2022;94.8
16/05/2022;94.63
17/05/2022;95.92
18/05/2022;94.7
19/05/2022;93.85
20/05/2022;94.47
23/05/2022;95.81
24/05/2022;94.72
25/05/2022;95.06
27/05/2022;97.65
30/05/2022;98.41
31/05/2022;96.97
01/06/2022;96.09
02/06/2022;97.01
03/06/2022;96.76
07/06/2022;97.27
08/06/2022;96.83
09/06/2022;95.63
10/06/2022;92.65
13/06/2022;90.56
14/06/2022;89.15
15/06/2022;90.49
16/06/2022;88.19
17/06/2022;88.69
20/06/2022;89.29
21/06/2022;89.48
22/06/2022;88.79
23/06/2022;87.66
24/06/2022;90.07
27/06/2022;90.5
28/06/2022;90.79
29/06/2022;89.64
30/06/2022;88.01
01/07/2022;88.65
04/07/2022;88.6
05/07/2022;86.71
06/07/2022;88.22
07/07/2022;89.85
08/07/2022;90.69
11/07/2022;89.98
12/07/2022;90.15
13/07/2022;89.11
15/07/2022;89.4
18/07/2022;90.29
19/07/2022;92.1
20/07/2022;91.98
21/07/2022;92.83
22/07/2022;92.79
25/07/2022;92.59
26/07/2022;91.93
27/07/2022;92.59
28/07/2022;94.57
29/07/2022;96.21
01/08/2022;96.21
02/08/2022;95.76
03/08/2022;96.63
04/08/2022;97.16
05/08/2022;96.22
08/08/2022;96.99
09/08/2022;96.08
10/08/2022;97.32
11/08/2022;97.41
12/08/2022;97.52
16/08/2022;98.17
17/08/2022;96.97
18/08/2022;97.26
19/08/2022;96.43
22/08/2022;94.48
23/08/2022;94.24
24/08/2022;94.56
25/08/2022;94.91
26/08/2022;93.02
29/08/2022;92.12
30/08/2022;92.11
31/08/2022;91.09
01/09/2022;89.64
02/09/2022;91.91
05/09/2022;90.51
06/09/2022;90.81
07/09/2022;91.12
08/09/2022;91.58
09/09/2022;93.02
12/09/2022;94.84
13/09/2022;93.03
14/09/2022;92.29
15/09/2022;91.66
16/09/2022;90.35
19/09/2022;90.33
20/09/2022;89.3
21/09/2022;90.02
22/09/2022;88.25
23/09/2022;86.2
26/09/2022;85.86
27/09/2022;85.42
28/09/2022;85.8
29/09/2022;84.12
30/09/2022;85.46
03/10/2022;86.14
04/10/2022;89.5
05/10/2022;88.49
06/10/2022;87.85
07/10/2022;86.23
10/10/2022;86.04
11/10/2022;85.65
12/10/2022;85.2
13/10/2022;86.1
14/10/2022;86.89
17/10/2022;88.49
18/10/2022;89.17
19/10/2022;88.62
20/10/2022;89.08
21/10/2022;88.9
24/10/2022;90.49
25/10/2022;92.2
26/10/2022;92.82
27/10/2022;92.25
28/10/2022;92.24
31/10/2022;91.81
02/11/2022;91.54
03/11/2022;90.69
04/11/2022;92.85
07/11/2022;93.62
08/11/2022;94.37
09/11/2022;94.22
10/11/2022;97.32
14/11/2022;97.95
15/11/2022;98.46
16/11/2022;97.56
17/11/2022;97.22
18/11/2022;98.21
21/11/2022;98.01
22/11/2022;98.33
23/11/2022;98.8
24/11/2022;99.24
25/11/2022;99.33
28/11/2022;98.36
29/11/2022;97.96
30/11/2022;98.82
01/12/2022;99.71
02/12/2022;99.82
05/12/2022;99.33
06/12/2022;98.81
07/12/2022;98.18
08/12/2022;97.71
09/12/2022;98.38
12/12/2022;98.03
13/12/2022;99.31
14/12/2022;99.2
15/12/2022;96.34
16/12/2022;95.08
19/12/2022;95.32
20/12/2022;95.17
21/12/2022;96.39
22/12/2022;95.58
23/12/2022;95.56
27/12/2022;95.85
28/12/2022;95.48
29/12/2022;96.35
30/12/2022;95.06
02/01/2023;96.44
03/01/2023;97.17
04/01/2023;99.38
05/01/2023;98.98
06/01/2023;100.14
09/01/2023;101.08
10/01/2023;100.7
11/01/2023;101.93
12/01/2023;102.73
13/01/2023;102.83
16/01/2023;103.32
17/01/2023;103.74
18/01/2023;103.92
19/01/2023;101.8
20/01/2023;102.02
23/01/2023;102.5
24/01/2023;102.55
25/01/2023;102.42
26/01/2023;102.94
27/01/2023;103.2
30/01/2023;102.85
31/01/2023;102.83
01/02/2023;103.15
02/02/2023;105.36
03/02/2023;105.67
06/02/2023;104.76
07/02/2023;104.51
08/02/2023;104.72
09/02/2023;105.7
10/02/2023;104.41
13/02/2023;105.41
14/02/2023;105.34
15/02/2023;106.46
16/02/2023;106.82
17/02/2023;106.46
20/02/2023;106.53
21/02/2023;105.87
22/02/2023;105.64
23/02/2023;105.7
24/02/2023;103.97
27/02/2023;105.28
28/02/2023;105.01
01/03/2023;104.64
02/03/2023;105.21
03/03/2023;106.38
06/03/2023;106.76
07/03/2023;106.06
08/03/2023;106.29
09/03/2023;106.2
10/03/2023;104.73
13/03/2023;101.81
14/03/2023;103.52
15/03/2023;100.15
16/03/2023;102.17
17/03/2023;100.72
20/03/2023;101.73
21/03/2023;103.25
22/03/2023;103.35
23/03/2023;103.27
24/03/2023;101.54
27/03/2023;102.64
28/03/2023;102.63
29/03/2023;104.14
30/03/2023;105.54
31/03/2023;106.13
03/04/2023;105.94
04/04/2023;105.93
05/04/2023;105.19
06/04/2023;105.45
11/04/2023;106.26
12/04/2023;106.41
13/04/2023;106.96
14/04/2023;107.24
17/04/2023;107.35
18/04/2023;107.52
19/04/2023;107.61
20/04/2023;107.15
21/04/2023;107.78
24/04/2023;107.77
25/04/2023;107.45
26/04/2023;107.0
27/04/2023;107.02
28/04/2023;107.57
02/05/2023;106.35
03/05/2023;106.9
04/05/2023;106.54
05/05/2023;107.55
09/05/2023;107.08
10/05/2023;106.74
11/05/2023;106.68
12/05/2023;107.14
15/05/2023;107.38
16/05/2023;106.56
17/05/2023;106.61
19/05/2023;108.1
22/05/2023;108.0
23/05/2023;107.09
24/05/2023;105.26
25/05/2023;104.82
26/05/2023;106.0
30/05/2023;105.3
31/05/2023;104.24
01/06/2023;105.14
02/06/2023;106.69
05/06/2023;106.07
06/06/2023;106.36
07/06/2023;106.63
08/06/2023;106.7
09/06/2023;106.43
12/06/2023;107.12
13/06/2023;107.99
14/06/2023;108.63
15/06/2023;108.23
16/06/2023;108.73
19/06/2023;107.51
20/06/2023;106.9
21/06/2023;105.98
22/06/2023;105.5
23/06/2023;104.73
26/06/2023;104.75
27/06/2023;105.23
28/06/2023;106.21
29/06/2023;106.46
30/06/2023;107.8
03/07/2023;107.51
04/07/2023;107.39
05/07/2023;106.59
06/07/2023;104.1
07/07/2023;104.42
10/07/2023;104.66
11/07/2023;105.71
12/07/2023;107.44
13/07/2023;108.15
17/07/2023;107.54
18/07/2023;107.79
19/07/2023;107.8
20/07/2023;108.1
21/07/2023;108.52
24/07/2023;108.44
25/07/2023;108.85
26/07/2023;108.01
27/07/2023;109.68
28/07/2023;109.53
31/07/2023;109.48
01/08/2023;108.41
02/08/2023;107.02
03/08/2023;105.85
04/08/2023;106.28
07/08/2023;106.37
08/08/2023;105.52
09/08/2023;105.98
10/08/2023;106.86
11/08/2023;105.68
14/08/2023;105.79
16/08/2023;104.88
17/08/2023;103.74
18/08/2023;103.41
21/08/2023;103.65
22/08/2023;104.41
23/08/2023;104.52
24/08/2023;103.95
25/08/2023;104.16
28/08/2023;105.38
29/08/2023;106.29
30/08/2023;105.53
31/08/2023;105.45
01/09/2023;105.17
04/09/2023;104.99
05/09/2023;104.45
06/09/2023;103.94
07/09/2023;103.64
08/09/2023;104.06
11/09/2023;104.48
12/09/2023;103.94
13/09/2023;103.39
14/09/2023;104.85
15/09/2023;105.36
18/09/2023;104.13
19/09/2023;104.06
20/09/2023;104.91
21/09/2023;103.87
22/09/2023;103.5
25/09/2023;102.4
26/09/2023;101.53
27/09/2023;101.48
28/09/2023;102.01
29/09/2023;102.29
02/10/2023;101.16
03/10/2023;100.04
04/10/2023;100.19
05/10/2023;100.3
06/10/2023;101.14
09/10/2023;100.57
10/10/2023;102.62
11/10/2023;102.17
12/10/2023;102.04
13/10/2023;100.39
16/10/2023;100.6
17/10/2023;100.27
18/10/2023;99.31
19/10/2023;98.92
20/10/2023;97.59
23/10/2023;97.61
24/10/2023;97.98
25/10/2023;97.93
26/10/2023;97.84
27/10/2023;97.79
30/10/2023;97.81
31/10/2023;98.65
02/11/2023;100.55
03/11/2023;100.73
06/11/2023;100.28
07/11/2023;100.34
08/11/2023;100.53
09/11/2023;102.01
10/11/2023;101.28
13/11/2023;101.79
14/11/2023;103.32
15/11/2023;104.05
16/11/2023;103.86
17/11/2023;104.87
20/11/2023;105.12
21/11/2023;104.95
22/11/2023;105.42
23/11/2023;105.75
24/11/2023;105.99
27/11/2023;105.43
28/11/2023;105.38
29/11/2023;106.19
30/11/2023;106.48
01/12/2023;107.42
04/12/2023;107.24
05/12/2023;108.15
06/12/2023;108.16
07/12/2023;108.29
08/12/2023;109.31
11/12/2023;109.58
12/12/2023;109.19
13/12/2023;109.05
14/12/2023;109.81
15/12/2023;110.06
18/12/2023;109.49
19/12/2023;110.01
20/12/2023;110.0
21/12/2023;109.68
22/12/2023;109.88
27/12/2023;110.23
28/12/2023;109.87
29/12/2023;110.02
02/01/2024;109.78
03/01/2024;108.1
04/01/2024;108.66
05/01/2024;108.43
08/01/2024;108.75
09/01/2024;108.39
10/01/2024;108.21
11/01/2024;107.61
12/01/2024;108.83
15/01/2024;108.29
16/01/2024;108.09
17/01/2024;107.09
18/01/2024;108.06
19/01/2024;108.12
22/01/2024;108.96
23/01/2024;108.63
24/01/2024;110.43
25/01/2024;110.87
26/01/2024;112.18
29/01/2024;112.13
30/01/2024;112.62
31/01/2024;112.28
01/02/2024;112.26
02/02/2024;112.16
05/02/2024;112.09
06/02/2024;112.44
07/02/2024;112.1
08/02/2024;112.68
09/02/2024;112.69
12/02/2024;113.19
13/02/2024;112.09
14/02/2024;112.91
15/02/2024;113.94
16/02/2024;114.59
19/02/2024;114.57
20/02/2024;114.2
21/02/2024;114.56
22/02/2024;116.0
23/02/2024;116.65
26/02/2024;115.79
27/02/2024;116.57
28/02/2024;116.47
29/02/2024;116.46
01/03/2024;116.95
04/03/2024;117.13
05/03/2024;116.57
06/03/2024;117.17
07/03/2024;118.42
08/03/2024;118.21
11/03/2024;117.33
12/03/2024;118.43
13/03/2024;118.92
14/03/2024;118.75
15/03/2024;118.0
18/03/2024;117.82
19/03/2024;118.18
20/03/2024;118.11
21/03/2024;119.03
22/03/2024;118.57
25/03/2024;118.68
26/03/2024;119.02
27/03/2024;119.35
28/03/2024;119.38
02/04/2024;118.42
03/04/2024;119.1
04/04/2024;119.01
05/04/2024;117.98
08/04/2024;118.67
09/04/2024;117.85
10/04/2024;117.79
11/04/2024;117.51
12/04/2024;117.44
15/04/2024;117.79
16/04/2024;116.4
17/04/2024;116.08
18/04/2024;116.65
