date;nav
09/11/2022;1000.0
10/11/2022;1000.0
14/11/2022;1000.0
15/11/2022;1000.0
16/11/2022;1000.0
17/11/2022;1000.0
18/11/2022;1000.0
21/11/2022;1000.0
22/11/2022;1000.0
23/11/2022;1000.0
24/11/2022;1000.0
25/11/2022;1000.0
28/11/2022;1000.0
29/11/2022;1000.0
30/11/2022;1000.0
01/12/2022;1000.337
02/12/2022;1000.334
05/12/2022;1000.334
06/12/2022;1000.337
07/12/2022;1000.34
08/12/2022;1000.341
09/12/2022;1000.349
12/12/2022;1000.352
13/12/2022;1000.355
14/12/2022;1000.359
15/12/2022;1000.361
16/12/2022;1000.372
19/12/2022;1000.375
20/12/2022;1000.396
21/12/2022;1000.424
22/12/2022;1000.478
23/12/2022;1000.629
27/12/2022;1000.737
28/12/2022;1000.794
29/12/2022;1000.841
30/12/2022;1001.127
02/01/2023;1001.21
03/01/2023;1001.26
04/01/2023;1001.31
05/01/2023;1001.36
06/01/2023;1001.463
09/01/2023;1001.54
10/01/2023;1001.586
11/01/2023;1001.635
12/01/2023;1001.678
13/01/2023;1001.769
16/01/2023;1001.821
17/01/2023;1001.862
18/01/2023;1001.905
19/01/2023;1001.955
20/01/2023;1002.091
23/01/2023;1001.955
24/01/2023;1011.734
25/01/2023;1012.24
26/01/2023;1013.06
27/01/2023;1015.29
30/01/2023;1012.13
31/01/2023;1006.28
01/02/2023;1007.34
02/02/2023;1022.04
03/02/2023;1020.69
06/02/2023;1017.52
07/02/2023;1016.21
08/02/2023;1014.66
09/02/2023;1016.58
10/02/2023;1012.12
13/02/2023;1011.36
14/02/2023;1009.73
15/02/2023;1000.19
16/02/2023;999.85
17/02/2023;999.23
20/02/2023;999.12
21/02/2023;993.73
22/02/2023;993.3
23/02/2023;995.51
24/02/2023;992.44
27/02/2023;992.49
28/02/2023;990.29
01/03/2023;987.78
02/03/2023;986.92
03/03/2023;988.81
06/03/2023;990.27
07/03/2023;990.75
08/03/2023;991.28
09/03/2023;992.27
10/03/2023;993.55
13/03/2023;991.65
14/03/2023;986.41
15/03/2023;984.73
16/03/2023;982.82
17/03/2023;986.69
20/03/2023;985.65
21/03/2023;990.54
22/03/2023;990.92
23/03/2023;990.73
24/03/2023;985.9
27/03/2023;990.44
28/03/2023;989.03
29/03/2023;991.34
30/03/2023;993.25
31/03/2023;997.88
03/04/2023;1001.44
04/04/2023;1001.11
05/04/2023;1001.57
06/04/2023;1001.89
11/04/2023;995.6
12/04/2023;999.97
13/04/2023;1000.71
14/04/2023;1000.79
17/04/2023;1001.11
18/04/2023;1003.08
