date;nav
09/11/2022;1000.0
10/11/2022;1000.0
14/11/2022;1000.0
15/11/2022;1000.0
16/11/2022;1000.0
17/11/2022;1000.0
18/11/2022;1000.0
21/11/2022;1000.0
22/11/2022;1000.0
23/11/2022;1000.0
24/11/2022;1000.0
25/11/2022;1000.0
28/11/2022;1000.0
29/11/2022;1000.0
30/11/2022;1000.0
01/12/2022;1000.34
02/12/2022;1000.34
05/12/2022;1000.34
06/12/2022;1000.34
07/12/2022;1000.34
08/12/2022;1000.34
09/12/2022;1000.35
12/12/2022;1000.35
13/12/2022;1000.35
14/12/2022;1000.35
15/12/2022;1000.35
16/12/2022;1000.36
19/12/2022;1000.36
20/12/2022;1000.38
21/12/2022;1000.41
22/12/2022;1000.46
23/12/2022;1000.61
27/12/2022;1000.72
28/12/2022;1000.78
29/12/2022;1000.83
30/12/2022;1001.12
02/01/2023;1001.2
03/01/2023;1001.25
04/01/2023;1001.3
05/01/2023;1001.35
06/01/2023;1001.45
09/01/2023;1001.53
10/01/2023;1001.58
11/01/2023;1001.63
12/01/2023;1001.673
13/01/2023;1001.764
16/01/2023;1001.816
17/01/2023;1001.857
18/01/2023;1001.899
19/01/2023;1001.949
20/01/2023;1002.085
23/01/2023;1001.949
24/01/2023;1011.729
25/01/2023;1012.23
26/01/2023;1013.06
27/01/2023;1015.28
30/01/2023;1012.12
31/01/2023;1006.28
01/02/2023;1007.34
02/02/2023;1022.02
03/02/2023;1020.68
06/02/2023;1017.5
07/02/2023;1016.2
08/02/2023;1014.64
09/02/2023;1016.56
10/02/2023;1012.1
13/02/2023;1011.35
14/02/2023;1009.72
15/02/2023;1000.18
16/02/2023;999.83
17/02/2023;999.22
20/02/2023;999.1
21/02/2023;993.71
22/02/2023;993.28
23/02/2023;995.49
24/02/2023;992.42
27/02/2023;990.92
28/02/2023;988.73
01/03/2023;986.21
02/03/2023;985.36
03/03/2023;987.25
06/03/2023;988.71
07/03/2023;989.19
08/03/2023;989.72
09/03/2023;990.7
10/03/2023;991.99
13/03/2023;990.1
14/03/2023;984.86
15/03/2023;983.19
16/03/2023;981.28
17/03/2023;985.15
20/03/2023;984.11
21/03/2023;988.98
22/03/2023;989.36
23/03/2023;989.17
24/03/2023;984.35
27/03/2023;988.88
28/03/2023;987.47
29/03/2023;989.77
30/03/2023;991.68
31/03/2023;996.31
03/04/2023;999.86
04/04/2023;999.54
05/04/2023;1000.01
06/04/2023;1000.32
11/04/2023;994.04
12/04/2023;998.4
13/04/2023;999.14
14/04/2023;999.22
17/04/2023;999.55
18/04/2023;1001.52
19/04/2023;999.31
