date;nav
10/06/2024;100.0
11/06/2024;99.99
12/06/2024;99.97
13/06/2024;99.99
14/06/2024;99.99
17/06/2024;99.99
18/06/2024;99.99
19/06/2024;100.0
20/06/2024;100.01
21/06/2024;100.01
24/06/2024;100.04
25/06/2024;100.06
26/06/2024;100.08
27/06/2024;100.09
28/06/2024;100.11
01/07/2024;100.13
02/07/2024;100.1
03/07/2024;100.11
04/07/2024;100.12
05/07/2024;100.13
08/07/2024;100.16
09/07/2024;100.16
10/07/2024;100.16
11/07/2024;100.15
12/07/2024;100.16
15/07/2024;100.19
16/07/2024;100.2
17/07/2024;100.2
18/07/2024;100.21
19/07/2024;100.22
22/07/2024;100.24
23/07/2024;100.26
24/07/2024;100.26
25/07/2024;100.27
26/07/2024;100.28
29/07/2024;100.31
30/07/2024;100.35
31/07/2024;100.36
01/08/2024;100.39
02/08/2024;100.4
05/08/2024;100.37
06/08/2024;100.33
07/08/2024;100.33
08/08/2024;100.35
09/08/2024;100.33
12/08/2024;100.35
13/08/2024;100.35
14/08/2024;100.36
16/08/2024;100.41
19/08/2024;100.44
20/08/2024;100.6
21/08/2024;100.54
22/08/2024;100.56
23/08/2024;100.59
26/08/2024;100.62
27/08/2024;100.64
28/08/2024;100.65
29/08/2024;100.66
30/08/2024;100.67
02/09/2024;100.7
03/09/2024;100.7
04/09/2024;100.71
05/09/2024;100.72
06/09/2024;100.74
09/09/2024;100.78
10/09/2024;100.82
11/09/2024;100.84
12/09/2024;100.85
13/09/2024;100.88
16/09/2024;100.94
17/09/2024;100.96
18/09/2024;100.98
19/09/2024;100.99
20/09/2024;101.0
23/09/2024;101.02
24/09/2024;101.03
25/09/2024;101.05
26/09/2024;101.05
27/09/2024;101.07
30/09/2024;101.1
01/10/2024;101.14
02/10/2024;101.14
03/10/2024;101.15
04/10/2024;101.16
07/10/2024;101.19
08/10/2024;101.2
09/10/2024;101.21
10/10/2024;101.22
11/10/2024;101.22
14/10/2024;101.25
15/10/2024;101.26
16/10/2024;101.27
17/10/2024;101.27
18/10/2024;101.28
21/10/2024;101.31
22/10/2024;101.31
23/10/2024;101.32
24/10/2024;101.33
25/10/2024;101.34
28/10/2024;101.37
29/10/2024;101.39
30/10/2024;101.4
31/10/2024;101.42
04/11/2024;101.45
05/11/2024;101.46
06/11/2024;101.48
07/11/2024;101.49
08/11/2024;101.5
12/11/2024;101.53
13/11/2024;101.5
14/11/2024;101.51
15/11/2024;101.52
18/11/2024;101.54
19/11/2024;101.55
20/11/2024;101.56
21/11/2024;101.56
22/11/2024;101.58
25/11/2024;101.61
26/11/2024;101.63
27/11/2024;101.64
28/11/2024;101.65
29/11/2024;101.66
02/12/2024;101.69
03/12/2024;101.69
04/12/2024;101.69
05/12/2024;101.7
06/12/2024;101.7
09/12/2024;101.73
10/12/2024;101.74
11/12/2024;101.75
12/12/2024;101.76
13/12/2024;101.76
16/12/2024;101.84
17/12/2024;101.86
18/12/2024;101.86
19/12/2024;101.86
20/12/2024;101.9
23/12/2024;101.92
24/12/2024;101.93
27/12/2024;101.93
30/12/2024;101.96
31/12/2024;101.97
02/01/2025;102.0
03/01/2025;102.01
06/01/2025;102.04
07/01/2025;102.06
08/01/2025;102.05
09/01/2025;102.06
10/01/2025;102.07
13/01/2025;102.09
14/01/2025;102.07
15/01/2025;102.12
16/01/2025;102.12
17/01/2025;102.13
20/01/2025;102.14
21/01/2025;102.16
22/01/2025;102.17
23/01/2025;102.19
24/01/2025;102.21
27/01/2025;102.24
28/01/2025;102.27
29/01/2025;102.28
30/01/2025;102.29
31/01/2025;102.32
03/02/2025;102.35
04/02/2025;102.38
05/02/2025;102.39
06/02/2025;102.39
07/02/2025;102.4
10/02/2025;102.43
11/02/2025;102.43
12/02/2025;102.45
13/02/2025;102.47
14/02/2025;102.49
17/02/2025;102.51
18/02/2025;102.53
19/02/2025;102.54
20/02/2025;102.55
21/02/2025;102.56
24/02/2025;102.61
25/02/2025;102.61
26/02/2025;102.62
27/02/2025;102.64
28/02/2025;102.66
03/03/2025;102.68
04/03/2025;102.69
05/03/2025;102.67
06/03/2025;102.65
07/03/2025;102.65
10/03/2025;102.68
11/03/2025;102.65
12/03/2025;102.62
13/03/2025;102.64
14/03/2025;102.56
17/03/2025;102.57
18/03/2025;102.6
19/03/2025;102.62
20/03/2025;102.58
21/03/2025;102.58
24/03/2025;102.62
25/03/2025;102.64
26/03/2025;102.72
27/03/2025;102.76
28/03/2025;102.76
31/03/2025;102.77
01/04/2025;102.78
02/04/2025;102.81
03/04/2025;102.72
04/04/2025;102.62
07/04/2025;102.57
08/04/2025;102.51
09/04/2025;102.42
10/04/2025;102.39
11/04/2025;102.38
14/04/2025;102.4
15/04/2025;102.41
16/04/2025;102.39
17/04/2025;102.42
22/04/2025;102.46
23/04/2025;102.46
24/04/2025;102.47
25/04/2025;102.49
28/04/2025;102.57
29/04/2025;102.58
30/04/2025;102.64
02/05/2025;102.66
05/05/2025;102.69
06/05/2025;102.73
07/05/2025;102.73
09/05/2025;102.78
12/05/2025;102.84
13/05/2025;102.86
14/05/2025;102.89
15/05/2025;102.91
16/05/2025;102.91
19/05/2025;102.94
20/05/2025;102.95
21/05/2025;102.96
22/05/2025;102.99
23/05/2025;102.99
26/05/2025;103.02
27/05/2025;103.03
28/05/2025;103.05
30/05/2025;103.08
02/06/2025;103.09
03/06/2025;103.1
04/06/2025;103.12
05/06/2025;103.12
06/06/2025;103.13
10/06/2025;103.15
11/06/2025;103.14
12/06/2025;103.12
13/06/2025;103.14
16/06/2025;103.14
17/06/2025;103.15
18/06/2025;103.15
19/06/2025;103.16
20/06/2025;103.16
23/06/2025;103.2
24/06/2025;103.21
25/06/2025;103.21
26/06/2025;103.24
27/06/2025;103.23
30/06/2025;103.24
01/07/2025;103.25
02/07/2025;103.22
03/07/2025;103.25
04/07/2025;103.26
07/07/2025;103.29
08/07/2025;103.29
09/07/2025;103.31
10/07/2025;103.31
11/07/2025;103.3
15/07/2025;103.34
16/07/2025;103.35
17/07/2025;103.37
18/07/2025;103.39
21/07/2025;103.4
22/07/2025;103.4
23/07/2025;103.42
24/07/2025;103.4
25/07/2025;103.39
28/07/2025;103.44
29/07/2025;103.46
30/07/2025;103.48
31/07/2025;103.48
01/08/2025;103.46
04/08/2025;103.48
05/08/2025;103.49
06/08/2025;103.49
07/08/2025;103.52
08/08/2025;103.53
11/08/2025;103.57
12/08/2025;103.58
13/08/2025;103.59
14/08/2025;103.61
18/08/2025;103.62
19/08/2025;103.62
20/08/2025;103.63
21/08/2025;103.64
22/08/2025;103.65
25/08/2025;103.67
26/08/2025;103.68
27/08/2025;103.71
28/08/2025;103.7
29/08/2025;103.69
01/09/2025;103.73
02/09/2025;103.75
03/09/2025;103.76
04/09/2025;103.78
05/09/2025;103.78
08/09/2025;103.81
09/09/2025;103.82
10/09/2025;103.84
11/09/2025;103.85
12/09/2025;103.86
15/09/2025;103.88
16/09/2025;103.87
17/09/2025;103.88
18/09/2025;103.88
19/09/2025;103.88
22/09/2025;103.91
23/09/2025;103.92
24/09/2025;103.92
25/09/2025;103.9
26/09/2025;103.92
29/09/2025;103.92
30/09/2025;103.94
01/10/2025;103.97
02/10/2025;103.95
03/10/2025;103.97
06/10/2025;103.99
07/10/2025;104.0
08/10/2025;104.02
09/10/2025;104.01
10/10/2025;103.99
13/10/2025;104.01
14/10/2025;103.96
15/10/2025;103.96
16/10/2025;103.95
17/10/2025;103.93
20/10/2025;103.96
21/10/2025;103.96
22/10/2025;103.96
23/10/2025;103.96
24/10/2025;103.97
27/10/2025;103.99
28/10/2025;103.97
29/10/2025;103.97
30/10/2025;103.98
31/10/2025;103.99
03/11/2025;104.02
04/11/2025;104.0
05/11/2025;104.01
06/11/2025;104.0
07/11/2025;104.02
10/11/2025;104.05
12/11/2025;104.04
13/11/2025;104.05
14/11/2025;104.07
17/11/2025;104.11
18/11/2025;104.11
19/11/2025;104.1
20/11/2025;104.12
21/11/2025;104.14
24/11/2025;104.14
25/11/2025;104.16
26/11/2025;104.18
27/11/2025;104.19
28/11/2025;104.21
01/12/2025;104.22
02/12/2025;104.22
03/12/2025;104.25
04/12/2025;104.27
05/12/2025;104.28
08/12/2025;104.3
09/12/2025;104.3
10/12/2025;104.31
11/12/2025;104.31
12/12/2025;104.3
15/12/2025;104.33
16/12/2025;104.34
17/12/2025;104.35
18/12/2025;104.36
19/12/2025;104.37
22/12/2025;104.4
23/12/2025;104.4
24/12/2025;104.43
29/12/2025;104.47
30/12/2025;104.47
31/12/2025;104.46
02/01/2026;104.49
05/01/2026;104.51
06/01/2026;104.52
07/01/2026;104.53
08/01/2026;104.55
