date;nav
15/04/2025;101.2185
30/04/2025;101.3095
15/05/2025;101.3096
31/05/2025;101.6738
16/06/2025;101.7129
30/06/2025;101.6537
15/07/2025;101.768
31/07/2025;102.8926
18/08/2025;104.1051
29/08/2025;104.1713
15/09/2025;104.2164
30/09/2025;104.1787
15/10/2025;104.2303
31/10/2025;104.294
14/11/2025;104.3932
28/11/2025;105.174
15/12/2025;105.2657
31/12/2025;105.3185
15/01/2026;105.3577
30/01/2026;105.4619
13/02/2026;105.5564
27/02/2026;105.7914
13/03/2026;106.008
31/03/2026;107.5884
15/04/2026;107.6336
30/04/2026;107.6246
15/05/2026;107.8934
29/05/2026;108.3095
