date;nav
23/01/2025;999.42
24/01/2025;999.75
27/01/2025;998.28
28/01/2025;999.21
29/01/2025;1000.96
30/01/2025;1002.6
31/01/2025;1004.73
03/02/2025;1002.27
04/02/2025;1004.43
05/02/2025;1006.44
06/02/2025;1008.22
07/02/2025;1008.3
10/02/2025;1008.15
11/02/2025;1007.83
12/02/2025;1007.34
13/02/2025;1009.43
14/02/2025;1010.92
17/02/2025;1010.96
18/02/2025;1012.05
19/02/2025;1010.98
20/02/2025;1011.64
21/02/2025;1012.11
24/02/2025;1011.96
25/02/2025;1011.46
26/02/2025;1012.57
27/02/2025;1013.39
28/02/2025;1013.17
03/03/2025;1014.05
04/03/2025;1011.76
05/03/2025;1009.44
06/03/2025;1005.6
07/03/2025;1005.6
10/03/2025;1004.29
11/03/2025;1002.16
12/03/2025;1002.42
13/03/2025;1000.33
14/03/2025;999.13
17/03/2025;1000.58
18/03/2025;1002.9
19/03/2025;1003.63
20/03/2025;1005.5
21/03/2025;1004.66
24/03/2025;1005.23
25/03/2025;1004.91
26/03/2025;1004.87
27/03/2025;1002.7
28/03/2025;1001.65
31/03/2025;998.29
01/04/2025;999.9
02/04/2025;999.71
03/04/2025;994.52
04/04/2025;982.96
07/04/2025;969.52
08/04/2025;977.73
09/04/2025;967.96
09/04/2025;967.96
10/04/2025;980.7
11/04/2025;975.26
14/04/2025;979.55
15/04/2025;984.78
16/04/2025;987.16
17/04/2025;990.77
22/04/2025;991.35
23/04/2025;999.07
24/04/2025;999.59
24/04/2025;999.59
25/04/2025;1001.35
28/04/2025;1002.29
29/04/2025;1001.38
30/04/2025;998.62
02/05/2025;999.32
05/05/2025;1000.11
06/05/2025;999.9
07/05/2025;1001.83
09/05/2025;1005.5
12/05/2025;1009.76
13/05/2025;1010.91
14/05/2025;1010.81
15/05/2025;1010.09
16/05/2025;1010.91
19/05/2025;1010.84
20/05/2025;1011.88
21/05/2025;1012.04
22/05/2025;1011.07
23/05/2025;1009.13
26/05/2025;1010.74
27/05/2025;1011.33
28/05/2025;1012.36
28/05/2025;1012.36
30/05/2025;1015.82
02/06/2025;1016.22
03/06/2025;1017.36
04/06/2025;1018.88
05/06/2025;1019.78
06/06/2025;1020.51
10/06/2025;1022.2
11/06/2025;1022.93
12/06/2025;1022.87
13/06/2025;1021.38
16/06/2025;1021.92
17/06/2025;1021.79
18/06/2025;1021.11
19/06/2025;1019.97
20/06/2025;1020.46
23/06/2025;1020.33
24/06/2025;1022.76
25/06/2025;1022.89
26/06/2025;1022.29
27/06/2025;1022.5
30/06/2025;1022.93
01/07/2025;1023.67
02/07/2025;1024.04
03/07/2025;1024.99
04/07/2025;1025.22
07/07/2025;1025.54
08/07/2025;1025.69
09/07/2025;1026.57
10/07/2025;1028.07
11/07/2025;1027.67
15/07/2025;1027.09
16/07/2025;1025.7
16/07/2025;1025.7
17/07/2025;1026.05
18/07/2025;1026.26
21/07/2025;1026.52
22/07/2025;1027.66
23/07/2025;1029.14
24/07/2025;1030.42
25/07/2025;1030.73
28/07/2025;1032.5
29/07/2025;1032.91
30/07/2025;1033.22
31/07/2025;1034.27
01/08/2025;1032.99
04/08/2025;1033.09
05/08/2025;1033.81
06/08/2025;1034.12
06/08/2025;1034.12
07/08/2025;1035.21
08/08/2025;1035.47
11/08/2025;1036.43
12/08/2025;1036.93
13/08/2025;1037.97
14/08/2025;1038.87
18/08/2025;1038.85
19/08/2025;1038.65
20/08/2025;1037.63
21/08/2025;1036.69
22/08/2025;1036.63
25/08/2025;1036.97
26/08/2025;1035.74
27/08/2025;1035.82
28/08/2025;1036.05
29/08/2025;1036.05
01/09/2025;1035.92
02/09/2025;1034.12
03/09/2025;1033.6
04/09/2025;1034.38
05/09/2025;1035.79
08/09/2025;1035.58
09/09/2025;1036.74
10/09/2025;1037.14
11/09/2025;1037.87
12/09/2025;1038.54
15/09/2025;1039.04
16/09/2025;1039.28
17/09/2025;1039.18
18/09/2025;1041.02
19/09/2025;1041.66
22/09/2025;1041.7
23/09/2025;1042.12
24/09/2025;1042.68
25/09/2025;1042.06
26/09/2025;1041.76
29/09/2025;1042.02
30/09/2025;1041.9
01/10/2025;1041.76
02/10/2025;1042.32
03/10/2025;1042.8
06/10/2025;1041.49
07/10/2025;1040.55
08/10/2025;1038.96
09/10/2025;1037.33
10/10/2025;1034.8
13/10/2025;1034.03
14/10/2025;1034.33
15/10/2025;1038.71
16/10/2025;1038.35
17/10/2025;1036.7
20/10/2025;1037.38
21/10/2025;1038.46
22/10/2025;1038.54
23/10/2025;1039.23
24/10/2025;1040.13
27/10/2025;1041.66
28/10/2025;1042.67
29/10/2025;1043.41
30/10/2025;1042.98
31/10/2025;1042.54
03/11/2025;1042.29
04/11/2025;1040.7
05/11/2025;1040.54
06/11/2025;1040.35
07/11/2025;1039.43
10/11/2025;1040.56
12/11/2025;1041.8
13/11/2025;1041.11
14/11/2025;1038.88
17/11/2025;1038.87
18/11/2025;1036.51
19/11/2025;1037.42
20/11/2025;1039.16
21/11/2025;1038.21
24/11/2025;1039.28
25/11/2025;1039.9
26/11/2025;1041.46
27/11/2025;1042.66
28/11/2025;1043.35
01/12/2025;1043.47
02/12/2025;1043.83
03/12/2025;1044.56
04/12/2025;1045.21
05/12/2025;1045.47
08/12/2025;1045.35
09/12/2025;1044.77
