date;nav
15/10/2024;100.0
16/10/2024;99.99
17/10/2024;99.99
18/10/2024;99.99
21/10/2024;99.98
22/10/2024;99.98
23/10/2024;99.98
24/10/2024;99.97
25/10/2024;99.97
28/10/2024;99.97
29/10/2024;99.96
30/10/2024;99.96
31/10/2024;100.08
04/11/2024;100.07
05/11/2024;100.07
06/11/2024;100.07
07/11/2024;100.07
08/11/2024;100.06
12/11/2024;100.06
13/11/2024;100.05
14/11/2024;100.05
15/11/2024;100.05
18/11/2024;100.04
19/11/2024;100.04
20/11/2024;100.04
21/11/2024;100.04
22/11/2024;100.03
25/11/2024;100.03
26/11/2024;100.02
27/11/2024;100.02
28/11/2024;100.02
29/11/2024;100.23
02/12/2024;100.23
03/12/2024;100.23
04/12/2024;100.22
05/12/2024;100.22
06/12/2024;100.22
09/12/2024;100.22
10/12/2024;100.21
11/12/2024;100.21
12/12/2024;100.21
13/12/2024;100.21
16/12/2024;100.2
17/12/2024;100.2
18/12/2024;100.2
19/12/2024;100.19
20/12/2024;100.19
23/12/2024;100.18
24/12/2024;100.18
27/12/2024;100.18
30/12/2024;100.17
31/12/2024;100.37
02/01/2025;100.37
03/01/2025;100.37
06/01/2025;100.36
07/01/2025;100.36
08/01/2025;100.36
09/01/2025;100.35
10/01/2025;100.35
13/01/2025;100.34
14/01/2025;100.34
15/01/2025;100.34
16/01/2025;100.34
17/01/2025;100.34
20/01/2025;100.33
21/01/2025;100.33
22/01/2025;100.32
23/01/2025;100.27
24/01/2025;100.3
27/01/2025;100.15
28/01/2025;100.24
29/01/2025;100.41
30/01/2025;100.58
31/01/2025;100.79
03/02/2025;100.54
04/02/2025;100.75
05/02/2025;100.95
06/02/2025;101.13
07/02/2025;101.14
10/02/2025;101.12
11/02/2025;101.09
12/02/2025;101.04
13/02/2025;101.25
14/02/2025;101.39
17/02/2025;101.39
18/02/2025;101.5
19/02/2025;101.39
20/02/2025;101.46
21/02/2025;101.5
24/02/2025;101.49
25/02/2025;101.44
26/02/2025;101.55
