date;nav
28/05/2025;100.1
30/05/2025;100.44
02/06/2025;100.47
03/06/2025;100.58
04/06/2025;100.73
05/06/2025;100.82
06/06/2025;100.89
10/06/2025;101.05
11/06/2025;101.12
12/06/2025;101.12
13/06/2025;100.97
16/06/2025;101.02
17/06/2025;101.01
18/06/2025;100.94
19/06/2025;100.82
20/06/2025;100.87
23/06/2025;100.85
24/06/2025;101.09
25/06/2025;101.1
26/06/2025;101.04
27/06/2025;101.06
30/06/2025;101.1
01/07/2025;101.17
02/07/2025;101.21
03/07/2025;101.3
04/07/2025;101.32
07/07/2025;101.35
08/07/2025;101.37
09/07/2025;101.45
10/07/2025;101.6
11/07/2025;101.56
15/07/2025;101.5
16/07/2025;101.36
17/07/2025;101.39
18/07/2025;101.41
21/07/2025;101.43
22/07/2025;101.54
23/07/2025;101.69
24/07/2025;101.81
25/07/2025;101.84
28/07/2025;102.02
29/07/2025;102.06
30/07/2025;102.08
31/07/2025;102.19
01/08/2025;102.06
04/08/2025;102.07
05/08/2025;102.14
06/08/2025;102.17
07/08/2025;102.27
08/08/2025;102.3
11/08/2025;102.39
12/08/2025;102.44
13/08/2025;102.54
14/08/2025;102.63
18/08/2025;102.62
19/08/2025;102.6
20/08/2025;102.5
21/08/2025;102.4
22/08/2025;102.39
25/08/2025;102.42
26/08/2025;102.3
27/08/2025;102.31
28/08/2025;102.33
29/08/2025;102.33
01/09/2025;102.31
02/09/2025;102.13
03/09/2025;102.08
04/09/2025;102.16
05/09/2025;102.3
08/09/2025;102.27
09/09/2025;102.38
10/09/2025;102.42
11/09/2025;102.49
12/09/2025;102.56
15/09/2025;102.6
16/09/2025;102.63
17/09/2025;102.62
18/09/2025;102.8
19/09/2025;102.86
22/09/2025;102.86
23/09/2025;102.9
24/09/2025;102.95
25/09/2025;102.89
26/09/2025;102.86
29/09/2025;102.88
30/09/2025;102.87
01/10/2025;102.85
02/10/2025;102.91
03/10/2025;102.95
06/10/2025;102.82
07/10/2025;102.73
08/10/2025;102.57
09/10/2025;102.41
10/10/2025;102.16
13/10/2025;102.08
14/10/2025;102.1
15/10/2025;102.54
16/10/2025;102.5
17/10/2025;102.34
20/10/2025;102.4
21/10/2025;102.5
22/10/2025;102.51
23/10/2025;102.58
24/10/2025;102.67
27/10/2025;102.81
28/10/2025;102.91
29/10/2025;102.98
30/10/2025;102.94
31/10/2025;102.89
03/11/2025;102.87
04/11/2025;102.71
05/11/2025;102.69
06/11/2025;102.67
07/11/2025;102.58
10/11/2025;102.69
12/11/2025;102.81
13/11/2025;102.74
14/11/2025;102.52
17/11/2025;102.51
18/11/2025;102.28
19/11/2025;102.37
20/11/2025;102.54
21/11/2025;102.44
24/11/2025;102.55
25/11/2025;102.6
26/11/2025;102.76
27/11/2025;102.87
28/11/2025;102.94
01/12/2025;102.95
02/12/2025;102.98
03/12/2025;103.06
04/12/2025;103.12
05/12/2025;103.14
08/12/2025;103.13
09/12/2025;103.07
10/12/2025;103.02
11/12/2025;102.97
12/12/2025;102.98
15/12/2025;102.96
16/12/2025;103.0
17/12/2025;103.06
18/12/2025;103.12
19/12/2025;103.13
22/12/2025;103.14
23/12/2025;103.24
24/12/2025;103.25
29/12/2025;103.26
30/12/2025;103.29
31/12/2025;103.33
02/01/2026;103.35
05/01/2026;103.44
06/01/2026;103.51
07/01/2026;103.59
08/01/2026;103.67
09/01/2026;103.72
12/01/2026;103.69
13/01/2026;103.65
14/01/2026;103.62
15/01/2026;103.63
16/01/2026;103.64
19/01/2026;103.49
20/01/2026;103.45
21/01/2026;103.63
22/01/2026;103.84
23/01/2026;103.88
26/01/2026;103.91
27/01/2026;103.98
28/01/2026;103.98
29/01/2026;103.94
30/01/2026;103.96
02/02/2026;103.95
03/02/2026;104.05
04/02/2026;104.11
05/02/2026;104.15
06/02/2026;104.2
09/02/2026;104.25
10/02/2026;104.27
11/02/2026;104.27
12/02/2026;104.29
13/02/2026;104.13
16/02/2026;104.21
17/02/2026;104.21
18/02/2026;104.27
19/02/2026;104.35
20/02/2026;104.41
23/02/2026;104.42
24/02/2026;104.39
25/02/2026;104.44
26/02/2026;104.52
27/02/2026;104.44
02/03/2026;104.14
03/03/2026;103.76
04/03/2026;104.02
05/03/2026;104.03
06/03/2026;103.68
09/03/2026;103.15
10/03/2026;103.66
11/03/2026;103.44
12/03/2026;103.12
13/03/2026;102.94
16/03/2026;102.83
17/03/2026;103.06
18/03/2026;103.13
19/03/2026;102.8
20/03/2026;102.53
23/03/2026;102.26
24/03/2026;102.33
25/03/2026;102.64
26/03/2026;102.5
27/03/2026;102.18
30/03/2026;102.01
31/03/2026;102.18
01/04/2026;102.75
02/04/2026;102.62
07/04/2026;102.67
08/04/2026;103.47
09/04/2026;103.38
10/04/2026;103.46
13/04/2026;103.36
14/04/2026;103.56
15/04/2026;103.61
16/04/2026;103.71
17/04/2026;103.87
20/04/2026;103.86
21/04/2026;103.91
22/04/2026;103.92
23/04/2026;103.89
24/04/2026;103.91
27/04/2026;103.94
28/04/2026;103.86
29/04/2026;103.82
30/04/2026;103.8
04/05/2026;103.9
05/05/2026;103.89
06/05/2026;104.1
07/05/2026;104.19
11/05/2026;104.22
12/05/2026;104.13
13/05/2026;104.15
15/05/2026;104.15
18/05/2026;104.09
19/05/2026;104.09
20/05/2026;104.14
21/05/2026;104.21
22/05/2026;104.28
26/05/2026;104.4
27/05/2026;104.47
28/05/2026;104.51
29/05/2026;104.63
01/06/2026;104.61
02/06/2026;104.71
03/06/2026;104.69
04/06/2026;104.73
05/06/2026;104.74
08/06/2026;104.65
09/06/2026;104.7
10/06/2026;104.69
11/06/2026;104.73
12/06/2026;104.85
15/06/2026;104.99
16/06/2026;105.01
