date;nav
17/09/2025;99.9829
18/09/2025;99.9589
19/09/2025;99.9473
22/09/2025;99.9284
23/09/2025;99.9205
24/09/2025;99.904
25/09/2025;99.8777
26/09/2025;99.921
29/09/2025;99.844
30/09/2025;99.6065
01/10/2025;99.3958
02/10/2025;99.4128
03/10/2025;99.1684
06/10/2025;99.3408
07/10/2025;99.1104
08/10/2025;99.5346
09/10/2025;99.74
10/10/2025;98.7162
14/10/2025;98.6342
15/10/2025;98.5234
16/10/2025;97.727
17/10/2025;97.6638
20/10/2025;98.2369
21/10/2025;98.8246
22/10/2025;98.9274
23/10/2025;99.0711
24/10/2025;98.9269
28/10/2025;99.4818
29/10/2025;99.9136
30/10/2025;100.6626
31/10/2025;100.9552
03/11/2025;101.807
04/11/2025;101.2637
05/11/2025;101.5513
06/11/2025;101.5554
07/11/2025;101.2045
10/11/2025;101.6699
12/11/2025;101.3043
13/11/2025;101.219
14/11/2025;101.279
17/11/2025;101.149
18/11/2025;100.5573
19/11/2025;100.2294
20/11/2025;100.0406
21/11/2025;99.3208
24/11/2025;99.5903
25/11/2025;99.805
26/11/2025;99.9173
28/11/2025;99.2989
01/12/2025;99.3509
02/12/2025;99.7503
03/12/2025;99.2698
04/12/2025;99.6377
05/12/2025;99.1781
08/12/2025;99.3671
09/12/2025;99.3311
10/12/2025;99.1283
11/12/2025;98.9297
12/12/2025;99.0107
15/12/2025;99.2738
16/12/2025;98.794
17/12/2025;98.5684
18/12/2025;98.9453
19/12/2025;98.8932
22/12/2025;99.0939
23/12/2025;99.0483
24/12/2025;99.0993
30/12/2025;98.3968
31/12/2025;98.9287
02/01/2026;98.8798
05/01/2026;99.9055
06/01/2026;99.6173
07/01/2026;99.1746
08/01/2026;99.4181
09/01/2026;99.3256
12/01/2026;98.9968
13/01/2026;98.7221
14/01/2026;98.4715
15/01/2026;97.7405
16/01/2026;98.0934
20/01/2026;97.0594
21/01/2026;96.8833
22/01/2026;96.2202
23/01/2026;97.5124
26/01/2026;97.9372
27/01/2026;99.251
28/01/2026;99.3104
29/01/2026;99.5126
30/01/2026;99.3793
03/02/2026;99.5627
04/02/2026;98.8186
05/02/2026;97.8109
06/02/2026;98.0241
09/02/2026;98.3871
10/02/2026;97.845
11/02/2026;98.0612
12/02/2026;97.4722
13/02/2026;97.3206
17/02/2026;97.6935
18/02/2026;98.193
19/02/2026;98.2618
20/02/2026;98.8038
23/02/2026;99.02
24/02/2026;98.9629
25/02/2026;99.5012
26/02/2026;99.7053
27/02/2026;99.0346
02/03/2026;100.0007
03/03/2026;99.846
04/03/2026;99.8698
05/03/2026;100.7083
06/03/2026;101.4589
09/03/2026;102.1752
10/03/2026;102.0311
11/03/2026;102.3515
12/03/2026;102.6657
13/03/2026;102.5335
16/03/2026;103.1003
18/03/2026;103.8605
19/03/2026;104.5052
20/03/2026;104.3161
23/03/2026;103.8549
24/03/2026;103.9823
25/03/2026;103.7701
26/03/2026;104.2243
27/03/2026;104.4806
30/03/2026;104.67
31/03/2026;105.1216
01/04/2026;105.1764
02/04/2026;105.5252
07/04/2026;105.4405
08/04/2026;105.1282
09/04/2026;105.3933
10/04/2026;105.3964
13/04/2026;105.2206
14/04/2026;105.1925
15/04/2026;105.1541
16/04/2026;104.67
17/04/2026;104.542
20/04/2026;103.8289
21/04/2026;103.4688
22/04/2026;103.6727
23/04/2026;103.5066
24/04/2026;103.6044
27/04/2026;103.3568
28/04/2026;103.7497
29/04/2026;103.8367
30/04/2026;103.794
05/05/2026;103.6842
06/05/2026;103.849
07/05/2026;103.5097
11/05/2026;103.8363
12/05/2026;103.9061
13/05/2026;103.8243
15/05/2026;104.1717
18/05/2026;105.3865
19/05/2026;105.7787
20/05/2026;105.7087
21/05/2026;105.7476
22/05/2026;105.0506
26/05/2026;103.8893
27/05/2026;103.8576
28/05/2026;103.8823
29/05/2026;103.4942
02/06/2026;104.2934
03/06/2026;103.9917
04/06/2026;104.2284
05/06/2026;105.2809
08/06/2026;105.3303
09/06/2026;105.2003
10/06/2026;105.4482
11/06/2026;104.9526
12/06/2026;105.0475
15/06/2026;104.3125
