date;nav
17/09/2025;99.9949
18/09/2025;99.989
19/09/2025;99.983
22/09/2025;99.9684
23/09/2025;99.9673
24/09/2025;99.957
25/09/2025;99.949
26/09/2025;99.998
29/09/2025;99.9273
30/09/2025;99.695
01/10/2025;99.4902
02/10/2025;99.5256
03/10/2025;99.2862
06/10/2025;99.4631
07/10/2025;99.238
08/10/2025;99.6698
09/10/2025;99.8661
10/10/2025;98.8544
14/10/2025;98.7823
15/10/2025;98.6759
16/10/2025;97.8922
17/10/2025;97.8293
20/10/2025;98.4053
21/10/2025;99.0854
22/10/2025;99.2206
23/10/2025;99.4078
24/10/2025;99.2426
28/10/2025;99.8367
29/10/2025;100.267
30/10/2025;101.0338
31/10/2025;101.3334
03/11/2025;102.1777
04/11/2025;101.6629
05/11/2025;101.9578
06/11/2025;101.9765
07/11/2025;101.6353
10/11/2025;102.1024
12/11/2025;101.7603
13/11/2025;101.6947
14/11/2025;101.7594
17/11/2025;101.6321
18/11/2025;101.0398
19/11/2025;100.6871
20/11/2025;100.4824
21/11/2025;99.641
24/11/2025;99.9636
25/11/2025;100.2273
26/11/2025;100.361
28/11/2025;99.6557
01/12/2025;99.7238
02/12/2025;100.2028
03/12/2025;99.6434
04/12/2025;100.094
05/12/2025;99.5591
08/12/2025;99.7898
09/12/2025;99.7516
10/12/2025;99.5159
11/12/2025;99.3021
12/12/2025;99.4065
15/12/2025;99.7236
16/12/2025;99.1618
17/12/2025;98.8968
18/12/2025;99.3562
19/12/2025;99.3034
22/12/2025;99.5493
23/12/2025;99.5285
24/12/2025;99.5898
30/12/2025;98.8634
31/12/2025;99.3547
02/01/2026;99.3232
05/01/2026;100.5475
06/01/2026;100.2264
07/01/2026;99.7083
08/01/2026;100.0145
09/01/2026;99.911
12/01/2026;99.5283
13/01/2026;99.2459
14/01/2026;98.9996
15/01/2026;98.2891
16/01/2026;98.6431
20/01/2026;97.6031
21/01/2026;97.4403
22/01/2026;96.7853
23/01/2026;98.0854
26/01/2026;98.5159
27/01/2026;99.9123
28/01/2026;99.9861
29/01/2026;100.2248
30/01/2026;100.0948
03/02/2026;100.2888
04/02/2026;99.4668
05/02/2026;98.4713
06/02/2026;98.6914
09/02/2026;99.0662
10/02/2026;98.5255
11/02/2026;98.7481
12/02/2026;98.179
13/02/2026;98.0258
17/02/2026;98.4125
18/02/2026;98.9225
19/02/2026;99.0078
20/02/2026;99.5584
23/02/2026;99.7999
24/02/2026;99.741
25/02/2026;100.3223
26/02/2026;100.5412
27/02/2026;99.8592
02/03/2026;100.8485
03/03/2026;100.708
04/03/2026;100.7382
05/03/2026;101.6012
06/03/2026;102.3845
09/03/2026;103.1024
10/03/2026;102.9571
11/03/2026;103.2867
12/03/2026;103.5998
13/03/2026;103.4891
16/03/2026;104.066
18/03/2026;104.8436
19/03/2026;105.5035
20/03/2026;105.3213
23/03/2026;104.8579
24/03/2026;104.9891
25/03/2026;104.7773
26/03/2026;105.2543
27/03/2026;105.5125
30/03/2026;105.7173
31/03/2026;106.158
01/04/2026;106.2511
02/04/2026;106.6092
07/04/2026;106.528
08/04/2026;106.2188
09/04/2026;106.5025
10/04/2026;106.511
13/04/2026;106.3415
14/04/2026;106.3221
15/04/2026;106.288
16/04/2026;105.8154
17/04/2026;105.6908
20/04/2026;104.9732
21/04/2026;104.6143
22/04/2026;104.8294
23/04/2026;104.6783
24/04/2026;104.7845
27/04/2026;104.5421
28/04/2026;104.9502
29/04/2026;105.0574
30/04/2026;105.0074
05/05/2026;104.9063
06/05/2026;105.0761
07/05/2026;104.7516
11/05/2026;105.0937
12/05/2026;105.1792
13/05/2026;105.1197
15/05/2026;105.4625
18/05/2026;106.6954
19/05/2026;107.0979
20/05/2026;107.0325
21/05/2026;107.0942
22/05/2026;106.3981
26/05/2026;105.2308
27/05/2026;105.2058
28/05/2026;105.2403
29/05/2026;104.8472
02/06/2026;105.6685
03/06/2026;105.3753
04/06/2026;105.6289
05/06/2026;106.6997
08/06/2026;106.7529
09/06/2026;106.6239
10/06/2026;106.8805
11/06/2026;106.392
12/06/2026;106.4908
15/06/2026;105.7512
