date;nav
17/09/2025;100.0045
18/09/2025;100.0145
19/09/2025;100.0149
22/09/2025;100.0074
23/09/2025;100.011
24/09/2025;100.0067
25/09/2025;100.0141
26/09/2025;100.0593
29/09/2025;100.0053
30/09/2025;99.7794
01/10/2025;99.5806
02/10/2025;99.6324
03/10/2025;99.3987
06/10/2025;99.582
07/10/2025;99.3624
08/10/2025;99.8012
09/10/2025;100.0443
10/10/2025;99.0201
14/10/2025;98.9578
15/10/2025;98.8572
16/10/2025;98.0877
17/10/2025;98.0339
20/10/2025;98.6166
21/10/2025;99.303
22/10/2025;99.4433
23/10/2025;99.647
24/10/2025;99.4863
28/10/2025;100.1413
29/10/2025;100.5777
30/10/2025;101.3667
31/10/2025;101.6661
03/11/2025;102.5154
04/11/2025;102.0207
05/11/2025;102.3153
06/11/2025;102.3365
07/11/2025;102.003
10/11/2025;102.4679
12/11/2025;102.1514
13/11/2025;102.0982
14/11/2025;102.1682
17/11/2025;102.0367
18/11/2025;101.4489
19/11/2025;101.1317
20/11/2025;100.9684
21/11/2025;100.2507
24/11/2025;100.532
25/11/2025;100.7667
26/11/2025;100.8772
28/11/2025;100.2932
01/12/2025;100.3591
02/12/2025;100.7742
03/12/2025;100.2927
04/12/2025;100.6921
05/12/2025;100.2381
08/12/2025;100.4387
09/12/2025;100.4107
10/12/2025;100.2139
11/12/2025;100.0466
12/12/2025;100.1414
15/12/2025;100.4178
16/12/2025;99.9278
17/12/2025;99.671
18/12/2025;100.1265
19/12/2025;100.0856
22/12/2025;100.3024
23/12/2025;100.3072
24/12/2025;100.3631
30/12/2025;99.7141
31/12/2025;100.1903
02/01/2026;100.1669
05/01/2026;101.2236
06/01/2026;100.9394
07/01/2026;100.5017
08/01/2026;100.7762
09/01/2026;100.693
12/01/2026;100.3686
13/01/2026;100.1308
14/01/2026;99.9101
15/01/2026;99.2121
16/01/2026;99.5693
20/01/2026;98.5234
21/01/2026;98.3667
22/01/2026;97.7192
23/01/2026;99.0381
26/01/2026;99.4776
27/01/2026;100.7605
28/01/2026;100.8217
29/01/2026;101.0622
30/01/2026;100.9344
03/02/2026;101.1319
04/02/2026;100.4021
05/02/2026;99.4853
06/02/2026;99.7103
09/02/2026;100.0812
10/02/2026;99.5553
11/02/2026;99.7841
12/02/2026;99.2278
13/02/2026;99.0731
17/02/2026;99.4742
18/02/2026;99.994
19/02/2026;100.0808
20/02/2026;100.5575
23/02/2026;100.7691
24/02/2026;100.7209
25/02/2026;101.2732
26/02/2026;101.5159
27/02/2026;100.8524
02/03/2026;101.825
03/03/2026;101.6802
04/03/2026;101.7173
05/03/2026;102.5967
06/03/2026;103.383
09/03/2026;104.104
10/03/2026;103.9488
11/03/2026;104.2852
12/03/2026;104.6193
13/03/2026;104.5124
16/03/2026;105.0989
18/03/2026;105.8913
19/03/2026;106.5628
20/03/2026;106.3845
23/03/2026;105.9227
24/03/2026;106.0586
25/03/2026;105.8542
26/03/2026;106.3433
27/03/2026;106.6078
30/03/2026;106.8211
31/03/2026;107.2743
01/04/2026;107.3868
02/04/2026;107.7545
07/04/2026;107.6769
08/04/2026;107.3665
09/04/2026;107.6664
10/04/2026;107.679
13/04/2026;107.5124
14/04/2026;107.4943
15/04/2026;107.4639
16/04/2026;106.9979
17/04/2026;106.8765
20/04/2026;106.1536
21/04/2026;105.7984
22/04/2026;106.0292
23/04/2026;105.8865
24/04/2026;106.004
27/04/2026;105.7621
28/04/2026;106.1792
29/04/2026;106.3064
30/04/2026;106.2639
05/05/2026;106.1624
06/05/2026;106.3418
07/05/2026;106.0249
11/05/2026;106.3804
12/05/2026;106.469
13/05/2026;106.414
15/05/2026;106.7741
18/05/2026;108.022
19/05/2026;108.4314
20/05/2026;108.3682
21/05/2026;108.4478
22/05/2026;107.7433
26/05/2026;106.5695
27/05/2026;106.5469
28/05/2026;106.5953
29/05/2026;106.2025
02/06/2026;107.0438
03/06/2026;106.7511
04/06/2026;107.0206
05/06/2026;108.1084
08/06/2026;108.167
09/06/2026;108.0392
10/06/2026;108.3026
11/06/2026;107.8167
12/06/2026;107.9246
15/06/2026;107.1806
