date;nav
12/11/2024;1000.0
13/11/2024;999.93
14/11/2024;999.92
18/11/2024;999.78
19/11/2024;999.75
20/11/2024;999.69
21/11/2024;999.14
22/11/2024;998.31
25/11/2024;1000.03
26/11/2024;999.23
27/11/2024;998.43
28/11/2024;997.91
29/11/2024;999.38
02/12/2024;1000.91
03/12/2024;1001.32
04/12/2024;1002.35
05/12/2024;1003.09
06/12/2024;1000.67
09/12/2024;1001.04
10/12/2024;1001.06
11/12/2024;1000.93
12/12/2024;1000.41
13/12/2024;1001.86
16/12/2024;1002.01
17/12/2024;1000.27
18/12/2024;1000.18
19/12/2024;996.32
20/12/2024;996.39
23/12/2024;995.18
24/12/2024;993.8
30/12/2024;988.5
31/12/2024;988.88
02/01/2025;986.54
03/01/2025;987.05
06/01/2025;987.35
07/01/2025;989.38
08/01/2025;987.71
09/01/2025;987.37
10/01/2025;986.48
13/01/2025;975.24
14/01/2025;973.9
15/01/2025;978.4
16/01/2025;979.19
17/01/2025;978.36
20/01/2025;979.94
21/01/2025;981.17
22/01/2025;985.19
23/01/2025;984.12
24/01/2025;988.16
27/01/2025;988.7
28/01/2025;986.75
29/01/2025;986.02
30/01/2025;985.34
31/01/2025;984.58
04/02/2025;979.84
05/02/2025;976.05
06/02/2025;975.16
07/02/2025;974.91
10/02/2025;974.22
11/02/2025;982.52
12/02/2025;981.94
13/02/2025;981.27
14/02/2025;981.93
17/02/2025;982.13
18/02/2025;981.0
20/02/2025;984.45
21/02/2025;983.06
24/02/2025;984.49
25/02/2025;978.74
27/02/2025;978.17
28/02/2025;973.73
03/03/2025;976.12
04/03/2025;976.68
05/03/2025;981.23
06/03/2025;981.3
07/03/2025;984.22
10/03/2025;979.8
11/03/2025;982.46
12/03/2025;983.5
13/03/2025;986.33
18/03/2025;993.27
19/03/2025;996.92
20/03/2025;999.37
21/03/2025;1004.25
24/03/2025;1008.66
25/03/2025;1006.86
26/03/2025;1009.41
27/03/2025;1009.81
28/03/2025;1015.54
02/04/2025;1020.85
03/04/2025;1021.73
04/04/2025;1025.26
07/04/2025;1018.15
08/04/2025;1013.64
09/04/2025;1008.75
11/04/2025;1018.21
15/04/2025;1023.21
16/04/2025;1025.59
17/04/2025;1030.8
22/04/2025;1037.85
23/04/2025;1036.06
24/04/2025;1038.15
25/04/2025;1034.39
28/04/2025;1039.42
29/04/2025;1039.19
30/04/2025;1048.18
02/05/2025;1048.25
06/05/2025;1051.01
07/05/2025;1046.11
08/05/2025;1032.7
09/05/2025;1033.68
13/05/2025;1037.44
14/05/2025;1040.29
15/05/2025;1037.91
16/05/2025;1040.09
19/05/2025;1041.67
20/05/2025;1039.62
21/05/2025;1039.82
22/05/2025;1035.54
23/05/2025;1046.34
26/05/2025;1048.11
27/05/2025;1044.7
28/05/2025;1046.28
29/05/2025;1044.9
30/05/2025;1042.68
03/06/2025;1041.36
04/06/2025;1037.75
05/06/2025;1038.65
06/06/2025;1038.89
09/06/2025;1032.98
10/06/2025;1030.76
11/06/2025;1031.22
12/06/2025;1029.43
13/06/2025;1022.13
16/06/2025;1025.11
17/06/2025;1023.92
18/06/2025;1020.98
19/06/2025;1016.25
20/06/2025;1018.99
23/06/2025;1017.48
24/06/2025;1027.67
25/06/2025;1025.61
26/06/2025;1028.02
27/06/2025;1031.25
30/06/2025;1028.49
01/07/2025;1032.51
02/07/2025;1031.62
03/07/2025;1035.97
04/07/2025;1035.57
07/07/2025;1030.15
08/07/2025;1031.96
09/07/2025;1032.13
10/07/2025;1032.32
11/07/2025;1031.37
14/07/2025;1029.05
15/07/2025;1032.51
16/07/2025;1030.79
17/07/2025;1029.74
18/07/2025;1030.46
21/07/2025;1029.31
22/07/2025;1028.88
23/07/2025;1028.79
24/07/2025;1028.44
25/07/2025;1025.78
28/07/2025;1022.32
29/07/2025;1021.78
30/07/2025;1012.56
31/07/2025;1010.58
01/08/2025;1011.66
05/08/2025;1010.09
06/08/2025;1008.5
07/08/2025;1008.04
08/08/2025;1008.61
11/08/2025;1005.43
12/08/2025;1002.74
13/08/2025;1004.74
14/08/2025;1004.74
18/08/2025;1006.35
19/08/2025;1008.11
20/08/2025;1007.82
21/08/2025;1005.09
22/08/2025;1001.86
25/08/2025;1000.32
26/08/2025;996.83
28/08/2025;1000.16
29/08/2025;991.77
01/09/2025;990.94
02/09/2025;990.34
03/09/2025;994.94
04/09/2025;996.46
09/09/2025;1000.67
10/09/2025;999.77
11/09/2025;995.81
12/09/2025;998.22
15/09/2025;999.42
16/09/2025;1002.03
17/09/2025;1005.64
18/09/2025;1001.06
19/09/2025;1001.83
22/09/2025;999.98
23/09/2025;995.0
24/09/2025;995.44
25/09/2025;995.63
26/09/2025;995.11
29/09/2025;994.18
30/09/2025;994.05
01/10/2025;997.08
03/10/2025;997.86
06/10/2025;999.19
07/10/2025;1000.12
08/10/2025;1000.49
09/10/2025;999.93
10/10/2025;1001.48
13/10/2025;1002.84
14/10/2025;1002.37
15/10/2025;1011.88
16/10/2025;1014.21
17/10/2025;1012.61
23/10/2025;1012.29
24/10/2025;1011.77
28/10/2025;1006.84
29/10/2025;1007.36
30/10/2025;1000.05
31/10/2025;999.08
03/11/2025;999.13
04/11/2025;1000.62
06/11/2025;1001.55
07/11/2025;1001.28
10/11/2025;1001.35
11/11/2025;1003.12
12/11/2025;1002.84
13/11/2025;1001.56
14/11/2025;999.75
17/11/2025;1001.09
18/11/2025;1002.05
19/11/2025;1002.8
20/11/2025;1001.32
21/11/2025;992.59
24/11/2025;996.14
25/11/2025;997.69
26/11/2025;997.69
27/11/2025;996.82
28/11/2025;994.77
01/12/2025;991.63
02/12/2025;988.03
03/12/2025;984.56
04/12/2025;987.18
05/12/2025;988.81
08/12/2025;987.09
09/12/2025;986.93
10/12/2025;983.95
11/12/2025;980.29
12/12/2025;979.99
15/12/2025;977.88
16/12/2025;975.31
17/12/2025;982.14
18/12/2025;984.1
19/12/2025;993.27
22/12/2025;988.01
23/12/2025;987.58
24/12/2025;990.15
30/12/2025;990.83
31/12/2025;990.38
02/01/2026;986.82
05/01/2026;985.25
06/01/2026;986.37
07/01/2026;989.68
08/01/2026;988.01
09/01/2026;985.0
12/01/2026;987.07
13/01/2026;984.41
14/01/2026;983.83
16/01/2026;975.52
19/01/2026;974.46
20/01/2026;973.11
21/01/2026;965.04
22/01/2026;967.28
23/01/2026;963.25
27/01/2026;964.62
28/01/2026;964.44
29/01/2026;963.22
30/01/2026;963.96
03/02/2026;982.06
04/02/2026;981.44
05/02/2026;984.51
06/02/2026;978.09
09/02/2026;976.65
10/02/2026;979.44
11/02/2026;979.77
12/02/2026;982.53
13/02/2026;982.91
16/02/2026;984.18
17/02/2026;985.09
18/02/2026;984.45
20/02/2026;979.41
23/02/2026;981.45
24/02/2026;982.14
25/02/2026;982.49
26/02/2026;982.48
27/02/2026;982.96
02/03/2026;976.92
04/03/2026;968.97
05/03/2026;975.34
06/03/2026;971.96
09/03/2026;963.24
10/03/2026;972.0
11/03/2026;964.91
12/03/2026;967.1
13/03/2026;964.08
16/03/2026;963.12
18/03/2026;959.68
20/03/2026;947.26
23/03/2026;942.45
24/03/2026;941.23
25/03/2026;939.74
27/03/2026;927.76
30/03/2026;924.17
02/04/2026;937.32
07/04/2026;944.2
08/04/2026;956.91
09/04/2026;954.45
10/04/2026;955.57
13/04/2026;949.57
15/04/2026;952.07
16/04/2026;953.53
17/04/2026;957.43
20/04/2026;956.13
21/04/2026;952.85
22/04/2026;948.98
23/04/2026;943.98
24/04/2026;940.98
27/04/2026;943.13
28/04/2026;938.04
29/04/2026;934.61
30/04/2026;932.16
05/05/2026;929.62
06/05/2026;941.22
07/05/2026;945.81
08/05/2026;942.26
11/05/2026;932.22
12/05/2026;927.89
13/05/2026;926.98
14/05/2026;928.17
15/05/2026;924.74
18/05/2026;918.71
19/05/2026;916.5
20/05/2026;914.6
21/05/2026;919.76
22/05/2026;924.19
25/05/2026;932.29
26/05/2026;929.2
27/05/2026;930.15
29/05/2026;937.34
02/06/2026;935.45
03/06/2026;930.46
04/06/2026;930.59
05/06/2026;940.89
08/06/2026;933.61
09/06/2026;939.13
10/06/2026;940.43
11/06/2026;935.35
12/06/2026;944.16
15/06/2026;948.44
16/06/2026;951.09
