date;nav
17/09/2025;9999.935
18/09/2025;9997.0948
19/09/2025;9994.927
22/09/2025;9992.9982
23/09/2025;9993.4759
24/09/2025;9991.8936
25/09/2025;9989.7507
26/09/2025;9994.0778
29/09/2025;9986.4467
30/09/2025;9962.956
01/10/2025;9942.4034
02/10/2025;9944.5251
03/10/2025;9919.9324
06/10/2025;9936.3017
07/10/2025;9912.9552
08/10/2025;9955.5127
09/10/2025;9976.9388
10/10/2025;9873.5706
14/10/2025;9866.5576
15/10/2025;9855.4028
16/10/2025;9776.253
17/10/2025;9769.8721
20/10/2025;9827.0279
21/10/2025;9893.8888
22/10/2025;9906.8879
23/10/2025;9924.1055
24/10/2025;9906.9437
28/10/2025;9972.5347
29/10/2025;10019.1867
30/10/2025;10094.4721
31/10/2025;10123.481
03/11/2025;10208.2674
04/11/2025;10154.9849
05/11/2025;10184.7802
06/11/2025;10185.1306
07/11/2025;10151.1929
10/11/2025;10198.8532
12/11/2025;10165.327
13/11/2025;10158.2146
14/11/2025;10163.9981
17/11/2025;10151.1357
18/11/2025;10091.6516
19/11/2025;10059.1823
20/11/2025;10040.1734
21/11/2025;9962.7446
24/11/2025;9995.672
25/11/2025;10017.8876
26/11/2025;10029.5338
28/11/2025;9962.2682
01/12/2025;9968.3736
02/12/2025;10013.585
03/12/2025;9959.7248
04/12/2025;10002.9309
05/12/2025;9949.6068
08/12/2025;9972.8679
09/12/2025;9968.534
10/12/2025;9944.5383
11/12/2025;9921.2535
12/12/2025;9931.1185
15/12/2025;9962.0494
16/12/2025;9905.4045
17/12/2025;9878.194
18/12/2025;9922.8966
19/12/2025;9916.3987
22/12/2025;9940.1697
23/12/2025;9938.8686
24/12/2025;9946.2541
30/12/2025;9863.947
31/12/2025;9914.4305
02/01/2026;9911.4846
05/01/2026;10029.1835
06/01/2026;10000.2017
07/01/2026;9948.1575
08/01/2026;9976.6642
09/01/2026;9965.9647
12/01/2026;9928.1522
13/01/2026;9899.356
14/01/2026;9874.5783
15/01/2026;9802.7957
16/01/2026;9838.4882
20/01/2026;9731.6361
21/01/2026;9715.2756
22/01/2026;9647.5455
23/01/2026;9775.7873
26/01/2026;9817.4693
27/01/2026;9956.5813
28/01/2026;9963.3796
29/01/2026;9988.4168
30/01/2026;9973.2288
03/02/2026;9996.2493
04/02/2026;9911.8879
05/02/2026;9811.382
06/02/2026;9833.7122
09/02/2026;9869.8185
10/02/2026;9813.9136
11/02/2026;9835.0836
12/02/2026;9776.4404
13/02/2026;9761.257
17/02/2026;9799.5929
18/02/2026;9850.5882
19/02/2026;9857.3073
20/02/2026;9912.0645
23/02/2026;9936.1224
24/02/2026;9931.3382
25/02/2026;9996.5891
26/02/2026;10017.3668
27/02/2026;9942.7092
02/03/2026;10046.6589
03/03/2026;10031.1552
04/03/2026;10033.3829
05/03/2026;10118.2842
06/03/2026;10196.9932
09/03/2026;10268.5249
10/03/2026;10254.2381
11/03/2026;10287.2663
12/03/2026;10317.1134
13/03/2026;10304.7337
16/03/2026;10362.7796
18/03/2026;10437.5986
19/03/2026;10502.7248
20/03/2026;10487.9938
23/03/2026;10441.1212
24/03/2026;10453.9891
25/03/2026;10433.2573
26/03/2026;10479.125
27/03/2026;10505.0342
30/03/2026;10521.7726
31/03/2026;10566.5224
01/04/2026;10578.636
02/04/2026;10612.5014
07/04/2026;10603.7843
08/04/2026;10572.5454
09/04/2026;10601.3363
10/04/2026;10602.8031
13/04/2026;10586.34
14/04/2026;10583.8081
15/04/2026;10580.4558
16/04/2026;10532.1169
17/04/2026;10518.3438
20/04/2026;10446.7729
21/04/2026;10410.6205
22/04/2026;10431.6056
23/04/2026;10415.4282
24/04/2026;10425.7266
27/04/2026;10400.3788
28/04/2026;10440.8363
29/04/2026;10453.4827
30/04/2026;10443.8147
05/05/2026;10433.8388
06/05/2026;10451.1555
07/05/2026;10417.7064
11/05/2026;10451.4039
12/05/2026;10459.6011
13/05/2026;10453.2174
15/05/2026;10486.0237
18/05/2026;10609.4685
19/05/2026;10648.7036
20/05/2026;10642.0024
21/05/2026;10646.7056
22/05/2026;10577.2034
26/05/2026;10460.007
27/05/2026;10457.2446
28/05/2026;10459.8027
29/05/2026;10420.2229
02/06/2026;10501.6528
03/06/2026;10471.9009
04/06/2026;10496.2897
05/06/2026;10601.7838
08/06/2026;10606.8953
09/06/2026;10593.8798
10/06/2026;10619.3794
11/06/2026;10569.3781
12/06/2026;10579.4116
15/06/2026;10505.3681
