date;nav
17/09/2025;100.0054
18/09/2025;100.0145
19/09/2025;100.008
22/09/2025;99.9893
23/09/2025;100.0058
24/09/2025;100.0001
25/09/2025;100.0089
26/09/2025;100.0566
29/09/2025;100.0022
30/09/2025;99.7761
01/10/2025;99.5775
02/10/2025;99.6315
03/10/2025;99.3971
06/10/2025;99.5814
07/10/2025;99.3649
08/10/2025;99.8041
09/10/2025;100.0479
10/10/2025;99.0199
14/10/2025;98.9601
15/10/2025;98.8552
16/10/2025;98.0777
17/10/2025;98.0146
20/10/2025;98.6075
21/10/2025;99.2939
22/10/2025;99.436
23/10/2025;99.6298
24/10/2025;99.4825
28/10/2025;100.0738
29/10/2025;100.5037
30/10/2025;101.2841
31/10/2025;101.5811
03/11/2025;102.4281
04/11/2025;101.9072
05/11/2025;102.2149
06/11/2025;102.2596
07/11/2025;101.9278
10/11/2025;102.3961
12/11/2025;102.0656
13/11/2025;102.0211
14/11/2025;102.0887
17/11/2025;101.9603
18/11/2025;101.3699
19/11/2025;101.0447
20/11/2025;100.8838
21/11/2025;100.0971
24/11/2025;100.4271
25/11/2025;100.6864
26/11/2025;100.8018
28/11/2025;100.1549
01/12/2025;100.2263
02/12/2025;100.7139
03/12/2025;100.2049
04/12/2025;100.6415
05/12/2025;100.1472
08/12/2025;100.383
09/12/2025;100.3482
10/12/2025;100.1184
11/12/2025;99.9208
12/12/2025;100.0312
15/12/2025;100.3565
16/12/2025;99.7975
17/12/2025;99.5354
18/12/2025;100.0077
19/12/2025;99.9639
22/12/2025;100.221
23/12/2025;100.2265
24/12/2025;100.2885
30/12/2025;99.582
31/12/2025;100.0918
02/01/2026;100.0648
05/01/2026;101.161
06/01/2026;100.8737
07/01/2026;100.4338
08/01/2026;100.7065
09/01/2026;100.6209
12/01/2026;100.2987
13/01/2026;100.0228
14/01/2026;99.7787
15/01/2026;99.0856
16/01/2026;99.4427
20/01/2026;98.3873
21/01/2026;98.2327
22/01/2026;97.5744
23/01/2026;98.8847
26/01/2026;99.3202
27/01/2026;100.6169
28/01/2026;100.675
29/01/2026;100.9164
30/01/2026;100.7771
03/02/2026;100.9752
04/02/2026;100.2425
05/02/2026;99.3063
06/02/2026;99.5319
09/02/2026;99.9202
10/02/2026;99.3795
11/02/2026;99.6082
12/02/2026;99.0529
13/02/2026;98.8979
17/02/2026;99.2967
18/02/2026;99.8138
19/02/2026;99.9132
20/02/2026;100.3939
23/02/2026;100.6056
24/02/2026;100.5583
25/02/2026;101.1161
26/02/2026;101.3493
27/02/2026;100.6848
02/03/2026;101.6516
03/03/2026;101.5005
04/03/2026;101.5446
05/03/2026;102.4205
06/03/2026;103.2142
09/03/2026;103.946
10/03/2026;103.8047
11/03/2026;104.1275
12/03/2026;104.4391
13/03/2026;104.3033
16/03/2026;104.9185
18/03/2026;105.6938
19/03/2026;106.4127
20/03/2026;106.2266
23/03/2026;105.7734
24/03/2026;105.9047
25/03/2026;105.695
26/03/2026;106.1765
27/03/2026;106.4403
30/03/2026;106.6379
31/03/2026;107.1184
01/04/2026;107.2414
02/04/2026;107.5883
07/04/2026;107.5323
08/04/2026;107.2485
09/04/2026;107.5586
10/04/2026;107.5808
13/04/2026;107.426
14/04/2026;107.4214
15/04/2026;107.3925
16/04/2026;106.9242
17/04/2026;106.8004
20/04/2026;106.0768
21/04/2026;105.7202
22/04/2026;105.9432
23/04/2026;105.8035
24/04/2026;105.9145
27/04/2026;105.6725
28/04/2026;106.0906
29/04/2026;106.2187
30/04/2026;106.1711
05/05/2026;106.0778
06/05/2026;106.2541
07/05/2026;105.9365
11/05/2026;106.289
12/05/2026;106.3775
13/05/2026;106.3224
15/05/2026;106.6825
18/05/2026;107.9425
19/05/2026;108.3465
20/05/2026;108.2886
21/05/2026;108.3662
22/05/2026;107.6578
26/05/2026;106.4833
27/05/2026;106.4615
28/05/2026;106.5108
29/05/2026;106.1164
02/06/2026;106.953
03/06/2026;106.6565
04/06/2026;106.929
05/06/2026;108.0049
08/06/2026;108.0647
09/06/2026;107.9398
10/06/2026;108.2043
11/06/2026;107.7258
12/06/2026;107.8268
15/06/2026;107.0842
