date;nav
21/06/2016;93.1253
28/06/2016;92.6588
05/07/2016;92.522
12/07/2016;93.0575
19/07/2016;93.4621
26/07/2016;93.3312
02/08/2016;93.7359
09/08/2016;94.2337
16/08/2016;94.6722
23/08/2016;94.6538
30/08/2016;94.8014
06/09/2016;95.2482
13/09/2016;94.946
20/09/2016;94.6388
27/09/2016;94.7386
04/10/2016;94.7372
11/10/2016;94.9842
18/10/2016;95.294
25/10/2016;95.7285
02/11/2016;95.6536
08/11/2016;95.7597
15/11/2016;95.8501
22/11/2016;95.6048
29/11/2016;95.5915
06/12/2016;95.8656
13/12/2016;96.1982
20/12/2016;96.259
29/12/2016;96.1288
03/01/2017;96.3224
10/01/2017;96.3489
17/01/2017;96.6546
24/01/2017;96.8501
31/01/2017;96.98
07/02/2017;97.0618
14/02/2017;97.2702
21/02/2017;97.3875
28/02/2017;97.8047
07/03/2017;98.1164
14/03/2017;98.0768
21/03/2017;98.4297
28/03/2017;98.398
04/04/2017;98.5536
11/04/2017;98.6446
18/04/2017;98.742
25/04/2017;98.5878
02/05/2017;98.7301
09/05/2017;99.2637
16/05/2017;99.7506
23/05/2017;99.2383
30/05/2017;99.2066
06/06/2017;99.2953
13/06/2017;99.0977
20/06/2017;99.5505
27/06/2017;99.8077
04/07/2017;99.9301
11/07/2017;99.8101
18/07/2017;100.0032
25/07/2017;100.1666
01/08/2017;100.4751
08/08/2017;100.4264
16/08/2017;100.5173
22/08/2017;100.1644
29/08/2017;99.8544
05/09/2017;100.1745
12/09/2017;100.3397
19/09/2017;100.5942
26/09/2017;100.6546
03/10/2017;100.7761
10/10/2017;100.8742
17/10/2017;101.2418
24/10/2017;101.4859
31/10/2017;101.7812
07/11/2017;101.844
14/11/2017;101.2827
21/11/2017;101.3543
28/11/2017;101.3139
05/12/2017;101.257
12/12/2017;101.2997
19/12/2017;101.1706
28/12/2017;101.1677
02/01/2018;101.3248
09/01/2018;101.772
16/01/2018;101.9822
23/01/2018;102.3211
30/01/2018;102.2186
06/02/2018;101.759
13/02/2018;101.3873
20/02/2018;101.8484
27/02/2018;101.2808
06/03/2018;101.0059
13/03/2018;100.991
20/03/2018;100.7017
27/03/2018;100.4126
03/04/2018;100.4726
10/04/2018;100.6244
17/04/2018;100.9149
24/04/2018;100.78
02/05/2018;100.5046
09/05/2018;100.3453
15/05/2018;100.4266
22/05/2018;100.34100000000001
29/05/2018;100.3999
05/06/2018;100.2104
12/06/2018;100.1248
19/06/2018;100.3164
26/06/2018;100.1098
03/07/2018;100.197
10/07/2018;100.5582
17/07/2018;100.7594
24/07/2018;100.6169
31/07/2018;100.7064
07/08/2018;100.6861
14/08/2018;100.5499
21/08/2018;100.57
28/08/2018;100.6628
04/09/2018;100.7142
11/09/2018;100.9702
18/09/2018;101.0013
25/09/2018;100.9789
02/10/2018;100.8377
09/10/2018;101.02
16/10/2018;101.1561
23/10/2018;100.7995
30/10/2018;100.5171
06/11/2018;100.8876
13/11/2018;100.4727
20/11/2018;99.353
27/11/2018;99.2311
04/12/2018;99.117
11/12/2018;99.148
18/12/2018;99.118
28/12/2018;98.7375
02/01/2019;98.5935
08/01/2019;98.8814
15/01/2019;98.8876
22/01/2019;98.2921
29/01/2019;98.2995
05/02/2019;98.2397
12/02/2019;98.3494
19/02/2019;98.3597
26/02/2019;98.5241
05/03/2019;98.4822
12/03/2019;98.3762
19/03/2019;98.5838
26/03/2019;98.6308
