date;nav
21/06/2016;95.7224
28/06/2016;95.2227
05/07/2016;95.0609
12/07/2016;95.5893
19/07/2016;95.9844
26/07/2016;95.8291
02/08/2016;96.2293
09/08/2016;96.7158
16/08/2016;97.1398
23/08/2016;97.0994
30/08/2016;97.2717
06/09/2016;97.8221
13/09/2016;97.4047
20/09/2016;96.9849
27/09/2016;97.0559
04/10/2016;97.0065
11/10/2016;97.3009
18/10/2016;97.6638
25/10/2016;98.1999
02/11/2016;98.0701
08/11/2016;98.1805
15/11/2016;98.2615
22/11/2016;97.9264
29/11/2016;97.88799999999999
06/12/2016;98.2236
13/12/2016;98.6206
20/12/2016;98.6777
29/12/2016;98.4838
03/01/2017;98.7141
10/01/2017;98.7171
17/01/2017;99.0726
24/01/2017;99.3014
31/01/2017;99.4458
07/02/2017;99.5292
14/02/2017;99.76899999999999
21/02/2017;99.9037
28/02/2017;100.3382
07/03/2017;100.6464
14/03/2017;100.5789
21/03/2017;100.9285
28/03/2017;100.8846
04/04/2017;101.0331
11/04/2017;101.1143
18/04/2017;101.20200000000001
25/04/2017;101.0315
02/05/2017;101.1659
09/05/2017;101.7048
16/05/2017;102.1942
23/05/2017;101.6558
30/05/2017;101.6118
06/06/2017;101.6905
13/06/2017;101.4504
20/06/2017;101.8982
27/06/2017;102.1498
04/07/2017;102.2356
11/07/2017;102.0885
18/07/2017;102.2952
25/07/2017;102.4508
01/08/2017;102.7567
08/08/2017;102.6889
16/08/2017;102.7696
22/08/2017;102.3956
29/08/2017;102.0304
05/09/2017;102.3832
12/09/2017;102.5398
19/09/2017;102.7885
26/09/2017;102.839
03/10/2017;102.9514
10/10/2017;103.0397
17/10/2017;103.4046
24/10/2017;103.6421
31/10/2017;103.932
07/11/2017;103.9849
14/11/2017;103.4003
21/11/2017;103.4615
28/11/2017;103.4083
05/12/2017;103.3388
12/12/2017;103.3704
19/12/2017;103.2273
28/12/2017;103.2091
02/01/2018;103.3609
09/01/2018;103.8078
16/01/2018;104.0084
23/01/2018;104.3424
30/01/2018;104.2258
06/02/2018;103.7446
13/02/2018;103.3541
20/02/2018;103.8124
27/02/2018;103.2119
06/03/2018;102.8961
13/03/2018;102.8662
20/03/2018;102.5565
27/03/2018;102.2474
03/04/2018;102.2909
10/04/2018;102.4307
17/04/2018;102.7112
24/04/2018;102.559
02/05/2018;102.2618
09/05/2018;102.0854
15/05/2018;102.1553
22/05/2018;102.0534
29/05/2018;102.0985
05/06/2018;101.8912
12/06/2018;101.7899
19/06/2018;101.9709
26/06/2018;101.7464
03/07/2018;101.8201
10/07/2018;102.1732
17/07/2018;102.363
24/07/2018;102.2039
31/07/2018;102.28
07/08/2018;102.2494
14/08/2018;102.0964
21/08/2018;102.1035
28/08/2018;102.1833
04/09/2018;102.2194
11/09/2018;102.4592
18/09/2018;102.4761
25/09/2018;102.4387
02/10/2018;102.2806
09/10/2018;102.4506
16/10/2018;102.5926
23/10/2018;102.1983
30/10/2018;101.8973
06/11/2018;102.2585
13/11/2018;101.8233
20/11/2018;100.6749
27/11/2018;100.5379
04/12/2018;100.4081
11/12/2018;100.4253
18/12/2018;100.3805
28/12/2018;99.9749
02/01/2019;99.8186
08/01/2019;100.098
15/01/2019;100.0882
22/01/2019;99.4719
29/01/2019;99.4677
05/02/2019;99.3927
12/02/2019;99.4886
19/02/2019;99.4846
26/02/2019;99.6369
05/03/2019;99.5802
12/03/2019;99.4613
19/03/2019;99.6566
26/03/2019;99.689
02/04/2019;99.9329
09/04/2019;100.2667
16/04/2019;100.1881
23/04/2019;100.1194
30/04/2019;100.1244
07/05/2019;100.0517
14/05/2019;99.8464
21/05/2019;99.9724
28/05/2019;99.7393
04/06/2019;99.6811
11/06/2019;99.8403
18/06/2019;100.1557
25/06/2019;100.4511
02/07/2019;100.8092
09/07/2019;100.911
16/07/2019;100.8532
23/07/2019;101.1009
30/07/2019;101.3676
06/08/2019;101.7403
13/08/2019;101.3935
20/08/2019;101.459
27/08/2019;101.7505
03/09/2019;102.0326
10/09/2019;102.2581
17/09/2019;102.71799999999999
24/09/2019;102.8851
01/10/2019;103.1152
08/10/2019;103.3328
15/10/2019;102.8745
22/10/2019;102.8886
29/10/2019;103.2815
05/11/2019;103.4994
12/11/2019;103.5264
19/11/2019;103.2619
26/11/2019;103.5338
03/12/2019;103.6719
10/12/2019;103.8516
17/12/2019;104.2537
24/12/2019;104.3083
31/12/2019;104.2612
07/01/2020;104.5031
14/01/2020;104.9397
21/01/2020;105.29799999999999
28/01/2020;105.3839
04/02/2020;105.6332
11/02/2020;106.0589
18/02/2020;106.0834
25/02/2020;105.9597
