date;nav
25/07/2017;100.0
01/08/2017;100.3302
08/08/2017;100.2783
16/08/2017;100.3746
22/08/2017;100.0107
29/08/2017;99.6237
05/09/2017;100.0197
12/09/2017;100.1875
19/09/2017;100.4453
26/09/2017;100.5094
03/10/2017;100.634
10/10/2017;100.7352
17/10/2017;101.10600000000001
24/10/2017;101.353
31/10/2017;101.6513
07/11/2017;101.7175
14/11/2017;101.1603
21/11/2017;101.235
28/11/2017;101.1977
05/12/2017;101.1444
12/12/2017;101.1902
19/12/2017;101.0647
28/12/2017;101.0659
02/01/2018;101.2251
09/01/2018;101.6755
16/01/2018;101.8889
23/01/2018;102.2324
30/01/2018;102.133
06/02/2018;101.6746
13/02/2018;101.2951
20/02/2018;101.7706
27/02/2018;101.1703
06/03/2018;100.8791
13/03/2018;100.8682
20/03/2018;100.5828
27/03/2018;100.2978
03/04/2018;100.3588
10/04/2018;100.5144
17/04/2018;100.8081
24/04/2018;100.6773
02/05/2018;100.4064
09/05/2018;100.2511
15/05/2018;100.3357
22/05/2018;100.25399999999999
29/05/2018;100.3167
05/06/2018;100.1312
12/06/2018;100.0498
19/06/2018;100.2462
26/06/2018;100.0436
03/07/2018;100.1343
10/07/2018;100.5058
17/07/2018;100.7043
24/07/2018;100.5663
31/07/2018;100.6595
07/08/2018;100.6463
14/08/2018;100.5143
21/08/2018;100.5396
28/08/2018;100.6363
04/09/2018;100.69
11/09/2018;100.9462
18/09/2018;100.9812
25/09/2018;100.9628
02/10/2018;100.8254
09/10/2018;101.0115
16/10/2018;101.1699
23/10/2018;100.7998
30/10/2018;100.5214
06/11/2018;100.8957
13/11/2018;100.4848
20/11/2018;99.3702
27/11/2018;99.2523
04/12/2018;99.1424
11/12/2018;99.1775
18/12/2018;99.1513
28/12/2018;98.7763
02/01/2019;98.6349
08/01/2019;98.9263
15/01/2019;98.9347
22/01/2019;98.3436
29/01/2019;98.3573
05/02/2019;98.3013
12/02/2019;98.4142
19/02/2019;98.4282
26/02/2019;98.5967
05/03/2019;98.5587
12/03/2019;98.4585
19/03/2019;98.6694
26/03/2019;98.72
02/04/2019;98.9799
09/04/2019;99.3274
16/04/2019;99.2554
23/04/2019;99.2038
30/04/2019;99.2237
07/05/2019;99.1704
14/05/2019;98.9848
21/05/2019;99.1282
28/05/2019;98.919
04/06/2019;98.8797
11/06/2019;99.0563
18/06/2019;99.3868
25/06/2019;99.6984
02/07/2019;100.0724
09/07/2019;100.1921
16/07/2019;100.1533
23/07/2019;100.4028
30/07/2019;100.6292
06/08/2019;100.9397
13/08/2019;100.6797
20/08/2019;100.7468
27/08/2019;100.9931
03/09/2019;101.2325
10/09/2019;101.4261
17/09/2019;101.806
24/09/2019;101.9536
01/10/2019;102.1515
08/10/2019;102.3594
15/10/2019;101.9896
22/10/2019;102.0129
29/10/2019;102.3524
05/11/2019;102.5823
12/11/2019;102.6241
19/11/2019;102.3767
26/11/2019;102.6611
03/12/2019;102.8089
10/12/2019;103.0061
17/12/2019;103.4195
24/12/2019;103.4877
31/12/2019;103.4556
07/01/2020;103.6808
14/01/2020;104.1291
21/01/2020;104.4999
28/01/2020;104.6003
04/02/2020;104.863
11/02/2020;105.301
18/02/2020;105.3394
25/02/2020;105.2309
03/03/2020;104.6873
10/03/2020;103.5435
18/03/2020;103.5372
24/03/2020;103.4776
31/03/2020;103.8297
07/04/2020;104.1629
14/04/2020;105.3697
21/04/2020;105.3733
28/04/2020;104.9508
05/05/2020;104.44200000000001
12/05/2020;104.1359
19/05/2020;104.0904
26/05/2020;104.7473
02/06/2020;105.5123
09/06/2020;106.4594
16/06/2020;106.2951
23/06/2020;106.0863
30/06/2020;105.9811
07/07/2020;106.61
15/07/2020;106.6264
21/07/2020;107.0406
28/07/2020;106.9722
04/08/2020;106.7634
11/08/2020;107.2999
18/08/2020;107.1789
25/08/2020;107.30799999999999
01/09/2020;107.2997
08/09/2020;107.4745
15/09/2020;107.664
22/09/2020;107.3727
29/09/2020;107.2595
06/10/2020;107.5118
13/10/2020;107.6029
20/10/2020;107.6613
27/10/2020;107.74799999999999
03/11/2020;107.8189
10/11/2020;108.9849
17/11/2020;109.5286
24/11/2020;110.2862
01/12/2020;110.4212
08/12/2020;110.5862
15/12/2020;110.7295
22/12/2020;110.8046
30/12/2020;110.7441
05/01/2021;110.972017
12/01/2021;111.058945
19/01/2021;110.8208
26/01/2021;110.690297
02/02/2021;110.903424
09/02/2021;111.23846599999999
16/02/2021;111.63476599999998
23/02/2021;111.673419
02/03/2021;111.775198
09/03/2021;111.87191200000001
16/03/2021;112.14741799999999
23/03/2021;112.10085500000001
30/03/2021;112.3674
06/04/2021;112.6185
13/04/2021;112.8254
20/04/2021;112.7971
27/04/2021;112.954
04/05/2021;113.0884
11/05/2021;113.0912
18/05/2021;113.1573
25/05/2021;113.1238
01/06/2021;113.3029
08/06/2021;113.3847
09/06/2021;113.3463
10/06/2021;113.3507
11/06/2021;113.469
14/06/2021;113.553
15/06/2021;113.5837
16/06/2021;113.541
17/06/2021;113.4691
18/06/2021;113.4752
21/06/2021;113.4795
22/06/2021;113.4596
23/06/2021;113.3769
24/06/2021;113.3907
25/06/2021;113.4314
28/06/2021;113.3441
29/06/2021;113.3392
30/06/2021;113.2232
01/07/2021;113.2631
02/07/2021;113.1868
05/07/2021;113.2161
06/07/2021;113.1431
07/07/2021;113.0961
08/07/2021;113.0521
09/07/2021;113.1247
12/07/2021;113.1584
13/07/2021;113.1944
15/07/2021;113.1312
16/07/2021;113.1366
19/07/2021;113.0183
20/07/2021;112.9338
21/07/2021;112.9865
22/07/2021;112.9791
23/07/2021;112.9969
26/07/2021;113.0144
27/07/2021;112.9821
28/07/2021;112.9904
29/07/2021;113.0518
30/07/2021;113.0255
03/08/2021;113.0485
04/08/2021;113.1093
05/08/2021;113.141
06/08/2021;113.1874
09/08/2021;113.1874
10/08/2021;113.2637
11/08/2021;113.2718
12/08/2021;113.2705
13/08/2021;113.2225
16/08/2021;113.1922
17/08/2021;113.1729
18/08/2021;113.191
19/08/2021;113.1794
20/08/2021;113.1742
23/08/2021;113.1029
24/08/2021;113.1072
25/08/2021;113.1395
26/08/2021;113.134
27/08/2021;113.0834
30/08/2021;113.0861
31/08/2021;113.0784
01/09/2021;113.1072
02/09/2021;113.1136
03/09/2021;113.1375
06/09/2021;113.1561
07/09/2021;113.226
08/09/2021;113.2334
09/09/2021;113.208
10/09/2021;113.2968
13/09/2021;113.3493
14/09/2021;113.4248
15/09/2021;113.5287
16/09/2021;113.6027
17/09/2021;113.6007
20/09/2021;113.5729
21/09/2021;113.5885
22/09/2021;113.6415
23/09/2021;113.787
24/09/2021;113.8383
27/09/2021;113.9236
28/09/2021;113.99600000000001
29/09/2021;114.0025
30/09/2021;113.963
01/10/2021;113.7791
04/10/2021;113.7707
05/10/2021;113.887
06/10/2021;113.8566
07/10/2021;113.9009
08/10/2021;113.9867
11/10/2021;113.98899999999999
12/10/2021;113.8694
13/10/2021;113.7891
14/10/2021;113.9458
15/10/2021;114.1108
18/10/2021;114.1746
19/10/2021;114.1529
20/10/2021;114.0908
21/10/2021;114.1218
22/10/2021;114.0799
26/10/2021;113.9304
27/10/2021;113.8683
28/10/2021;113.9399
29/10/2021;113.92
02/11/2021;113.766
03/11/2021;113.7744
04/11/2021;113.7
05/11/2021;113.6293
08/11/2021;113.7571
09/11/2021;113.7045
10/11/2021;113.8659
12/11/2021;113.8121
15/11/2021;113.9339
16/11/2021;113.866
17/11/2021;113.8152
18/11/2021;113.8
19/11/2021;113.7362
22/11/2021;113.8234
23/11/2021;113.8568
24/11/2021;113.8354
25/11/2021;113.8137
26/11/2021;113.2578
29/11/2021;113.1878
30/11/2021;113.2348
01/12/2021;113.318
02/12/2021;113.3499
03/12/2021;113.3413
06/12/2021;113.4428
07/12/2021;113.6104
08/12/2021;113.6872
09/12/2021;113.67299999999999
10/12/2021;113.6481
13/12/2021;113.5809
14/12/2021;113.6158
15/12/2021;113.60600000000001
16/12/2021;113.5608
17/12/2021;113.5014
20/12/2021;113.4128
21/12/2021;113.5164
22/12/2021;113.4914
23/12/2021;113.5567
24/12/2021;113.5509
30/12/2021;113.6572
31/12/2021;113.6557
04/01/2022;113.8366
05/01/2022;113.9196
06/01/2022;113.9342
07/01/2022;113.9916
10/01/2022;113.9541
11/01/2022;113.97
12/01/2022;113.9678
13/01/2022;113.9485
14/01/2022;113.88
17/01/2022;113.8619
18/01/2022;113.7853
19/01/2022;113.6876
20/01/2022;113.6669
21/01/2022;113.6088
24/01/2022;113.4371
25/01/2022;113.3563
26/01/2022;113.5231
27/01/2022;113.3883
28/01/2022;113.1558
31/01/2022;113.0738
01/02/2022;113.1693
02/02/2022;113.31200000000001
03/02/2022;113.37700000000001
04/02/2022;112.9122
07/02/2022;112.4229
08/02/2022;112.59
09/02/2022;112.7517
10/02/2022;112.93799999999999
11/02/2022;112.7143
14/02/2022;112.505
15/02/2022;112.6303
16/02/2022;112.6196
17/02/2022;112.44200000000001
18/02/2022;112.3535
21/02/2022;112.2877
22/02/2022;112.1609
23/02/2022;112.2696
24/02/2022;111.5792
25/02/2022;111.8134
28/02/2022;111.2664
01/03/2022;111.2264
02/03/2022;111.3208
03/03/2022;111.3555
04/03/2022;111.2137
07/03/2022;110.9834
08/03/2022;110.9173
09/03/2022;111.1237
10/03/2022;111.2962
11/03/2022;111.2447
14/03/2022;111.2725
15/03/2022;111.0552
16/03/2022;111.2336
21/03/2022;111.6766
22/03/2022;111.8106
23/03/2022;111.7342
25/03/2022;112.0859
28/03/2022;112.0401
29/03/2022;111.914
30/03/2022;111.9379
31/03/2022;111.8327
01/04/2022;112.0347
04/04/2022;112.0074
05/04/2022;112.3641
06/04/2022;112.525
07/04/2022;112.5325
08/04/2022;112.5496
11/04/2022;112.5191
12/04/2022;112.1423
13/04/2022;112.0107
14/04/2022;112.0309
19/04/2022;112.0712
20/04/2022;111.7774
21/04/2022;111.9634
22/04/2022;112.0414
25/04/2022;111.883
26/04/2022;111.8089
27/04/2022;111.6381
28/04/2022;111.8679
29/04/2022;111.8338
03/05/2022;111.8615
04/05/2022;111.7001
05/05/2022;111.8396
06/05/2022;111.6421
09/05/2022;111.4314
10/05/2022;111.2364
11/05/2022;111.2982
12/05/2022;111.0897
13/05/2022;111.1631
16/05/2022;111.193
17/05/2022;111.3189
18/05/2022;111.2405
19/05/2022;110.8936
20/05/2022;111.0531
23/05/2022;110.9345
24/05/2022;110.7868
25/05/2022;110.6292
27/05/2022;110.796
30/05/2022;110.9065
31/05/2022;111.0239
01/06/2022;111.2054
02/06/2022;111.1609
03/06/2022;111.2098
07/06/2022;111.1358
08/06/2022;111.0646
09/06/2022;111.0642
10/06/2022;111.4435
13/06/2022;111.8804
14/06/2022;112.2528
15/06/2022;112.0198
16/06/2022;110.9693
17/06/2022;110.5514
20/06/2022;110.2989
21/06/2022;110.295
22/06/2022;109.9941
23/06/2022;110.034
24/06/2022;109.8432
27/06/2022;109.7907
28/06/2022;109.5993
29/06/2022;109.3694
30/06/2022;108.9026
01/07/2022;108.9825
04/07/2022;108.8865
05/07/2022;109.1551
06/07/2022;109.0751
07/07/2022;109.1005
08/07/2022;109.448
11/07/2022;109.5614
12/07/2022;109.5939
13/07/2022;109.5823
15/07/2022;109.4174
18/07/2022;109.3078
19/07/2022;109.3651
20/07/2022;110.0159
21/07/2022;109.7653
22/07/2022;110.0291
25/07/2022;110.1469
26/07/2022;110.4545
27/07/2022;110.2636
28/07/2022;110.3342
29/07/2022;110.3695
02/08/2022;110.8598
03/08/2022;110.6752
04/08/2022;110.6182
05/08/2022;110.8986
08/08/2022;110.8091
09/08/2022;111.0632
10/08/2022;110.5806
11/08/2022;110.637
12/08/2022;110.6678
16/08/2022;110.5607
17/08/2022;110.5913
18/08/2022;110.1539
19/08/2022;110.4585
22/08/2022;110.8224
23/08/2022;110.6966
24/08/2022;110.5798
25/08/2022;110.5476
26/08/2022;110.9569
29/08/2022;111.3187
30/08/2022;111.3688
31/08/2022;111.2424
01/09/2022;111.2977
02/09/2022;110.3679
05/09/2022;110.4837
06/09/2022;110.3891
07/09/2022;110.276
08/09/2022;110.6515
09/09/2022;110.7423
12/09/2022;110.5562
13/09/2022;110.5268
14/09/2022;110.4222
15/09/2022;110.56
16/09/2022;110.6687
19/09/2022;110.674
20/09/2022;111.1986
21/09/2022;110.8841
22/09/2022;111.3406
23/09/2022;111.5503
26/09/2022;111.5282
