date;nav
18/06/2016;1094.83
19/06/2016;1094.83
20/06/2016;1097.3
21/06/2016;1097.57
22/06/2016;1098.84
23/06/2016;1098.84
24/06/2016;1097.97
25/06/2016;1097.97
26/06/2016;1097.97
27/06/2016;1095.41
28/06/2016;1098.16
29/06/2016;1102.27
30/06/2016;1103.5
01/07/2016;1107.76
02/07/2016;1107.76
03/07/2016;1107.76
04/07/2016;1109.25
05/07/2016;1111.7
06/07/2016;1111.03
07/07/2016;1113.01
08/07/2016;1115.45
09/07/2016;1115.45
10/07/2016;1115.45
11/07/2016;1117.18
12/07/2016;1116.56
13/07/2016;1118.48
14/07/2016;1117.86
15/07/2016;1117.09
16/07/2016;1117.09
17/07/2016;1117.09
18/07/2016;1116.95
19/07/2016;1117.11
20/07/2016;1117.38
21/07/2016;1117.19
22/07/2016;1118.32
23/07/2016;1118.32
24/07/2016;1118.32
25/07/2016;1119.08
26/07/2016;1118.3
27/07/2016;1119.26
28/07/2016;1120.66
29/07/2016;1121.72
30/07/2016;1121.72
31/07/2016;1121.72
01/08/2016;1121.52
02/08/2016;1120.43
03/08/2016;1118.09
04/08/2016;1120.51
05/08/2016;1120.9
06/08/2016;1120.9
07/08/2016;1120.9
08/08/2016;1123.44
09/08/2016;1126.7
10/08/2016;1129.45
11/08/2016;1128.28
12/08/2016;1130.27
13/08/2016;1130.27
14/08/2016;1130.27
15/08/2016;1130.27
16/08/2016;1132.87
17/08/2016;1133.03
18/08/2016;1134.24
19/08/2016;1133.34
20/08/2016;1133.34
21/08/2016;1133.34
22/08/2016;1133.77
23/08/2016;1134.93
24/08/2016;1134.37
25/08/2016;1133.55
26/08/2016;1133.46
27/08/2016;1133.46
28/08/2016;1133.46
29/08/2016;1134.03
30/08/2016;1134.69
31/08/2016;1133.43
01/09/2016;1131.77
02/09/2016;1132.53
03/09/2016;1132.53
04/09/2016;1132.53
05/09/2016;1133.45
06/09/2016;1137.3
07/09/2016;1140.11
08/09/2016;1139.41
09/09/2016;1135.8
10/09/2016;1135.8
11/09/2016;1135.8
12/09/2016;1133.68
13/09/2016;1131.65
14/09/2016;1130.29
15/09/2016;1129.39
16/09/2016;1129.54
17/09/2016;1129.54
18/09/2016;1129.54
19/09/2016;1130.42
20/09/2016;1132.01
21/09/2016;1134.78
22/09/2016;1141.31
23/09/2016;1141.11
24/09/2016;1141.11
25/09/2016;1141.11
26/09/2016;1139.31
27/09/2016;1140.68
28/09/2016;1140.43
29/09/2016;1142.03
30/09/2016;1141.33
01/10/2016;1141.33
02/10/2016;1141.33
03/10/2016;1142.23
04/10/2016;1141.34
05/10/2016;1140.37
06/10/2016;1140.53
07/10/2016;1139.7
08/10/2016;1139.7
09/10/2016;1139.7
10/10/2016;1139.61
11/10/2016;1138.38
12/10/2016;1136.67
13/10/2016;1137.75
14/10/2016;1135.75
15/10/2016;1135.75
16/10/2016;1135.75
17/10/2016;1135.41
18/10/2016;1135.64
19/10/2016;1136.77
20/10/2016;1139.67
21/10/2016;1140.39
22/10/2016;1140.39
23/10/2016;1140.39
24/10/2016;1143.28
25/10/2016;1143.48
26/10/2016;1140.92
27/10/2016;1136.63
28/10/2016;1134.33
29/10/2016;1134.33
30/10/2016;1134.33
31/10/2016;1135.83
01/11/2016;1135.83
02/11/2016;1135.17
03/11/2016;1134.54
04/11/2016;1134.99
05/11/2016;1134.99
06/11/2016;1134.99
07/11/2016;1136.73
08/11/2016;1139.23
09/11/2016;1129.43
10/11/2016;1115.16
11/11/2016;1109.15
12/11/2016;1109.15
13/11/2016;1109.15
14/11/2016;1091.36
15/11/2016;1098.07
16/11/2016;1098.83
17/11/2016;1100.13
18/11/2016;1096.67
19/11/2016;1096.67
20/11/2016;1096.67
21/11/2016;1099.13
22/11/2016;1099.59
23/11/2016;1097.35
24/11/2016;1097.61
25/11/2016;1097.41
26/11/2016;1097.41
27/11/2016;1097.41
28/11/2016;1099.29
29/11/2016;1099.18
30/11/2016;1100.33
01/12/2016;1096.41
02/12/2016;1097.54
03/12/2016;1097.54
04/12/2016;1097.54
05/12/2016;1100.61
06/12/2016;1101.82
07/12/2016;1108.09
08/12/2016;1108.4
09/12/2016;1108.49
10/12/2016;1108.49
11/12/2016;1108.49
12/12/2016;1108.49
13/12/2016;1109.59
14/12/2016;1110.66
15/12/2016;1105.52
16/12/2016;1106.46
17/12/2016;1106.46
18/12/2016;1106.46
19/12/2016;1107.95
20/12/2016;1108.34
21/12/2016;1111.32
22/12/2016;1111.47
23/12/2016;1112.16
24/12/2016;1112.16
25/12/2016;1112.16
26/12/2016;1112.16
27/12/2016;1112.92
28/12/2016;1112.93
29/12/2016;1114.93
30/12/2016;1114.2
31/12/2016;1114.2
01/01/2017;1114.2
02/01/2017;1114.47
03/01/2017;1116.47
04/01/2017;1119.32
05/01/2017;1124.15
06/01/2017;1125.52
07/01/2017;1125.52
08/01/2017;1125.52
09/01/2017;1124.98
10/01/2017;1125.66
11/01/2017;1123.71
12/01/2017;1126.77
13/01/2017;1127.47
14/01/2017;1127.47
15/01/2017;1127.47
16/01/2017;1127.84
17/01/2017;1131.3
18/01/2017;1129.92
19/01/2017;1126.75
20/01/2017;1126.98
21/01/2017;1126.98
22/01/2017;1126.98
23/01/2017;1129.69
24/01/2017;1129.83
25/01/2017;1127.77
26/01/2017;1129.34
27/01/2017;1130.89
28/01/2017;1130.89
29/01/2017;1130.89
30/01/2017;1131.49
31/01/2017;1131.32
01/02/2017;1131.77
02/02/2017;1134.21
03/02/2017;1136.23
04/02/2017;1136.23
05/02/2017;1136.23
06/02/2017;1139.63
07/02/2017;1138.88
08/02/2017;1140.29
09/02/2017;1141.15
10/02/2017;1143.5
11/02/2017;1143.5
12/02/2017;1143.5
13/02/2017;1144.7
14/02/2017;1144.33
15/02/2017;1142.46
16/02/2017;1143.92
17/02/2017;1143.31
18/02/2017;1143.31
19/02/2017;1143.31
20/02/2017;1144.01
21/02/2017;1145.41
22/02/2017;1148.28
23/02/2017;1150.64
24/02/2017;1152.32
25/02/2017;1152.32
26/02/2017;1152.32
27/02/2017;1152.84
28/02/2017;1153.51
01/03/2017;1151.41
02/03/2017;1151.01
03/03/2017;1151.4
04/03/2017;1151.4
05/03/2017;1151.4
06/03/2017;1152.7
07/03/2017;1153.25
08/03/2017;1148.46
09/03/2017;1142.08
10/03/2017;1143.97
11/03/2017;1143.97
12/03/2017;1143.97
13/03/2017;1142.87
14/03/2017;1139.28
15/03/2017;1142.51
16/03/2017;1145.96
17/03/2017;1147.7
18/03/2017;1147.7
19/03/2017;1147.7
20/03/2017;1148.08
21/03/2017;1149.94
22/03/2017;1149.17
23/03/2017;1150.41
24/03/2017;1152.26
25/03/2017;1152.26
26/03/2017;1152.26
27/03/2017;1153.17
28/03/2017;1153.54
29/03/2017;1153.69
30/03/2017;1154.27
31/03/2017;1152.12
01/04/2017;1152.12
02/04/2017;1152.12
03/04/2017;1153.38
04/04/2017;1144.99
05/04/2017;1155.79
06/04/2017;1157.79
07/04/2017;1158.73
08/04/2017;1158.73
09/04/2017;1158.73
10/04/2017;1158.43
11/04/2017;1159.91
12/04/2017;1160.84
13/04/2017;1163.29
14/04/2017;1163.29
15/04/2017;1163.29
16/04/2017;1163.29
17/04/2017;1163.29
18/04/2017;1165.08
19/04/2017;1164.39
20/04/2017;1163.92
21/04/2017;1165.45
22/04/2017;1165.45
23/04/2017;1165.45
24/04/2017;1168.32
25/04/2017;1168.52
26/04/2017;1168.58
27/04/2017;1169.16
28/04/2017;1171.79
29/04/2017;1171.79
30/04/2017;1171.79
01/05/2017;1171.79
02/05/2017;1173.98
03/05/2017;1175.26
04/05/2017;1172.93
05/05/2017;1171.49
06/05/2017;1171.49
07/05/2017;1171.49
08/05/2017;1172.39
09/05/2017;1171.02
10/05/2017;1172.27
11/05/2017;1174.21
12/05/2017;1176.82
13/05/2017;1176.82
14/05/2017;1176.82
