date;nav
03/01/2020;100.3
10/01/2020;101.27
17/01/2020;102.46
24/01/2020;102.51
31/01/2020;100.5
07/02/2020;102.82
14/02/2020;104.76
21/02/2020;104.67
28/02/2020;95.46
06/03/2020;94.02
13/03/2020;83.61
20/03/2020;78.22
27/03/2020;82.42
03/04/2020;81.47
09/04/2020;86.57
17/04/2020;88.69
24/04/2020;89.04
30/04/2020;90.12
07/05/2020;91.12
15/05/2020;90.66
22/05/2020;92.73
29/05/2020;94.28
05/06/2020;96.12
12/06/2020;93.52
19/06/2020;95.61
26/06/2020;94.49
03/07/2020;96.56
10/07/2020;97.61
17/07/2020;97.69
24/07/2020;97.22
31/07/2020;96.98
07/08/2020;98.61
14/08/2020;98.91
21/08/2020;99.58
28/08/2020;100.97
04/09/2020;99.34
11/09/2020;98.92
18/09/2020;99.52
25/09/2020;99.04
28/09/2020;100.34
02/10/2020;100.63
05/10/2020;101.59
09/10/2020;103.13
16/10/2020;103.38
23/10/2020;102.07
30/10/2020;98.65
06/11/2020;103.25
13/11/2020;104.5
20/11/2020;105.32
27/11/2020;106.46
04/12/2020;106.91
11/12/2020;106.86
18/12/2020;108.87
24/12/2020;109.68
31/12/2020;110.2
08/01/2021;112.79
15/01/2021;112.35
22/01/2021;113.73
29/01/2021;110.79
05/02/2021;115.15
12/02/2021;116.43
19/02/2021;115.43
26/02/2021;111.61
05/03/2021;110.77
12/03/2021;113.84
19/03/2021;113.4
25/03/2021;112.92
26/03/2021;113.88
01/04/2021;115.47
09/04/2021;116.84
16/04/2021;118.0
23/04/2021;117.68
30/04/2021;117.34
07/05/2021;117.31
14/05/2021;115.74
21/05/2021;116.24
28/05/2021;118.01
04/06/2021;118.56
11/06/2021;119.45
18/06/2021;119.08
25/06/2021;120.41
02/07/2021;121.57
09/07/2021;121.32
16/07/2021;120.38
23/07/2021;122.13
30/07/2021;122.47
06/08/2021;124.02
13/08/2021;124.8
20/08/2021;123.38
27/08/2021;125.29
03/09/2021;125.88
10/09/2021;125.09
17/09/2021;124.64
24/09/2021;124.78
01/10/2021;122.27
08/10/2021;122.21
15/10/2021;125.15
22/10/2021;126.36
29/10/2021;127.74
05/11/2021;130.12
12/11/2021;131.29
19/11/2021;131.24
26/11/2021;126.93
03/12/2021;125.79
10/12/2021;128.38
17/12/2021;127.08
24/12/2021;129.17
31/12/2021;130.36
07/01/2022;128.38
14/01/2022;127.12
21/01/2022;123.78
28/01/2022;121.9
04/02/2022;121.53
11/02/2022;121.85
18/02/2022;120.5
25/02/2022;119.31
04/03/2022;116.28
11/03/2022;116.45
18/03/2022;121.27
25/03/2022;121.67
01/04/2022;122.17
08/04/2022;121.07
14/04/2022;120.88
22/04/2022;119.66
29/04/2022;118.44
06/05/2022;115.75
13/05/2022;115.01
20/05/2022;114.65
27/05/2022;117.1
03/06/2022;117.08
10/06/2022;114.21
17/06/2022;109.52
24/06/2022;111.57
01/07/2022;110.14
08/07/2022;113.01
15/07/2022;112.17
22/07/2022;115.01
29/07/2022;118.43
05/08/2022;118.84
12/08/2022;120.28
19/08/2022;119.27
26/08/2022;116.34
02/09/2022;113.1
09/09/2022;114.61
16/09/2022;111.4
23/09/2022;108.12
30/09/2022;106.02
07/10/2022;107.34
14/10/2022;106.31
21/10/2022;107.97
28/10/2022;110.59
04/11/2022;110.23
10/11/2022;113.11
18/11/2022;112.91
25/11/2022;114.31
02/12/2022;114.68
09/12/2022;112.93
16/12/2022;110.9
23/12/2022;110.34
30/12/2022;110.2
06/01/2023;112.68
13/01/2023;114.66
20/01/2023;114.4
27/01/2023;115.81
03/02/2023;117.22
10/02/2023;116.49
17/02/2023;117.11
24/02/2023;115.76
03/03/2023;117.08
10/03/2023;114.27
17/03/2023;112.9
24/03/2023;112.94
31/03/2023;115.15
06/04/2023;114.12
14/04/2023;114.84
21/04/2023;114.82
28/04/2023;114.5
05/05/2023;114.75
12/05/2023;115.28
19/05/2023;116.3
26/05/2023;115.66
02/06/2023;116.59
09/06/2023;116.88
16/06/2023;118.31
23/06/2023;115.4
30/06/2023;116.76
07/07/2023;114.82
13/07/2023;117.09
21/07/2023;117.2
28/07/2023;118.29
04/08/2023;115.97
11/08/2023;115.62
18/08/2023;113.49
25/08/2023;114.41
01/09/2023;116.46
08/09/2023;115.23
15/09/2023;115.64
22/09/2023;112.84
29/09/2023;112.32
06/10/2023;111.44
13/10/2023;111.98
20/10/2023;108.41
27/10/2023;107.2
03/11/2023;110.96
10/11/2023;111.71
17/11/2023;113.48
24/11/2023;113.99
01/12/2023;115.89
08/12/2023;116.92
15/12/2023;119.32
22/12/2023;119.79
29/12/2023;120.18
05/01/2024;117.83
12/01/2024;118.9
19/01/2024;118.86
26/01/2024;120.73
02/02/2024;121.5
09/02/2024;122.94
16/02/2024;123.73
23/02/2024;124.37
01/03/2024;125.24
08/03/2024;124.98
15/03/2024;124.77
22/03/2024;126.95
28/03/2024;127.51
05/04/2024;125.89
12/04/2024;125.71
19/04/2024;122.14
26/04/2024;124.66
03/05/2024;125.19
10/05/2024;127.78
17/05/2024;128.78
24/05/2024;129.32
31/05/2024;128.5
07/06/2024;129.69
14/06/2024;128.23
21/06/2024;128.81
28/06/2024;127.7
05/07/2024;130.05
12/07/2024;131.09
19/07/2024;128.55
26/07/2024;128.15
02/08/2024;124.71
09/08/2024;124.68
16/08/2024;127.74
23/08/2024;128.6
30/08/2024;129.9
06/09/2024;125.25
13/09/2024;128.53
20/09/2024;129.05
27/09/2024;131.38
04/10/2024;130.66
11/10/2024;131.27
18/10/2024;132.25
25/10/2024;130.51
31/10/2024;128.23
08/11/2024;131.77
15/11/2024;130.79
22/11/2024;132.69
29/11/2024;132.68
06/12/2024;134.33
13/12/2024;134.11
20/12/2024;132.04
27/12/2024;132.9
03/01/2025;133.46
10/01/2025;132.43
17/01/2025;135.18
24/01/2025;136.09
31/01/2025;136.81
07/02/2025;136.96
14/02/2025;137.81
21/02/2025;137.16
28/02/2025;136.27
07/03/2025;132.27
14/03/2025;130.31
21/03/2025;131.07
28/03/2025;129.02
04/04/2025;119.89
11/04/2025;120.29
17/04/2025;121.76
25/04/2025;125.7
02/05/2025;129.14
09/05/2025;130.09
16/05/2025;134.48
23/05/2025;131.8
30/05/2025;133.43
06/06/2025;134.77
13/06/2025;132.79
20/06/2025;132.1
27/06/2025;134.03
04/07/2025;134.86
11/07/2025;135.77
11/07/2025;135.77
18/07/2025;136.79
25/07/2025;137.52
01/08/2025;135.08
08/08/2025;136.88
14/08/2025;137.61
22/08/2025;138.51
29/08/2025;136.93
05/09/2025;136.33
12/09/2025;138.47
19/09/2025;139.36
22/09/2025;139.47
23/09/2025;139.12
24/09/2025;138.96
25/09/2025;138.63
26/09/2025;139.01
29/09/2025;139.27
30/09/2025;139.63
01/10/2025;140.39
02/10/2025;141.23
03/10/2025;141.42
06/10/2025;141.51
07/10/2025;141.37
08/10/2025;142.49
09/10/2025;142.63
10/10/2025;140.13
13/10/2025;141.27
14/10/2025;140.59
15/10/2025;141.38
16/10/2025;141.26
17/10/2025;140.93
20/10/2025;142.21
21/10/2025;142.77
22/10/2025;142.22
23/10/2025;142.78
24/10/2025;143.48
27/10/2025;144.25
28/10/2025;144.04
29/10/2025;143.79
30/10/2025;143.57
31/10/2025;143.65
03/11/2025;143.63
04/11/2025;142.58
05/11/2025;142.77
06/11/2025;141.18
07/11/2025;140.66
10/11/2025;142.42
12/11/2025;143.37
13/11/2025;142.06
14/11/2025;141.46
17/11/2025;140.65
18/11/2025;139.15
19/11/2025;139.4
20/11/2025;138.82
21/11/2025;139.04
24/11/2025;139.92
25/11/2025;140.75
26/11/2025;141.46
27/11/2025;141.66
28/11/2025;142.12
01/12/2025;141.52
02/12/2025;141.62
03/12/2025;141.56
04/12/2025;142.04
05/12/2025;142.54
08/12/2025;142.51
09/12/2025;142.17
10/12/2025;142.29
11/12/2025;142.22
12/12/2025;141.64
15/12/2025;141.73
16/12/2025;141.29
17/12/2025;140.41
18/12/2025;141.43
19/12/2025;142.19
22/12/2025;142.41
23/12/2025;142.57
24/12/2025;142.75
29/12/2025;142.79
30/12/2025;143.13
31/12/2025;142.77
02/01/2026;143.16
05/01/2026;144.28
